line_number,section,hindi,english,roman
1.0,,"अच्युतं केशवं रामनारायणं, कृष्णदामोदरं वासुदेवं हरिम्।","Achyuta, Keshava, Rama, Narayana, Krishna, Damodara, Vasudeva, Hari",Achyutam Keshavam Rama Narayanam Krishna Damodara Vasudeva Harim
,,"श्रीधरं माधवं गोपिकावल्लभं, जानकीनायकं रामचन्द्रं भजे॥","Shridhara, Madhava, beloved of the Gopis, lord of Janaki — I worship Ramachandra",Shri dharam Madhavam Gopika vallabham Janaki nayakam Ramachandram bhaje
,|| ॐ ||,,,
,,"अच्युत अनन्त गोविन्द नामस्मरणं,","Remembrance of the names Achyuta, Ananta and Govinda",Achyuta Ananta Govinda nama smaranam
,,नाशयते भवसागरं नरः।,Destroys for the person the ocean of worldly existence,Nashayate bhava sagaram narah
,|| ॐ ||,,,
,,"कृष्ण विष्णु मुरारि, केशव कमलापति।","Krishna, Vishnu, Murari, Keshava, Kamalapati (lord of Lakshmi)",Krishna Vishnu Murari Keshava Kamalapati
,,"नरहरि नारायण, हरे हरे गोपाल॥","Narahari, Narayana, Hare Hare, Gopala",Narahari Narayana Hare Hare Gopala
,|| ॐ ||,,,
,,अच्युताष्टकमिदं पुण्यं यः पठेद् भक्तितः सदा।,Whoever reads this sacred Achyuta Ashtakam daily with devotion,Achyuta ashtakam idam punyam yah pathed bhaktitah sada
,,वैकुण्ठं प्राप्नुयात् नित्यं विष्णोः साम्यं समाश्रयेत्॥,Always attains Vaikuntha and approaches the equality of Vishnu,Vaikuntham prapnuyat nityam Vishnoh samyam samashrayet
,|| अंत ||,,,
