line_number,section,hindi,english,roman
1.0,,ततो युद्धपरिश्रान्तं समरे चिन्तया स्थितम्।,"Then Rama, exhausted from battle and standing anxious on the battlefield",Tato yuddhaparisrantam samare chintaya sthitam
,,रावणं चाग्रतो दृष्ट्वा युद्धाय समुपस्थितम्॥,Seeing Ravana standing before him ready for battle,Ravanam chagratodrashva yuddhaya samupasthitam
,|| ॐ ||,,,
,,दैवतैश्च समागम्य द्रष्टुमभ्यागतो रणम्।,"The sage Agastya, who had come with the gods to witness the battle",Daivataischa samagamya drashtumabhyagato ranam
,,उपागम्याब्रवीद्राममगस्त्यो भगवान् ऋषिः॥,Approached Rama and the blessed sage Agastya spoke,Upagamyabravid Ramam Agastyo bhagavan rishih
,|| ॐ ||,,,
,,राम राम महाबाहो शृणु गुह्यं सनातनम्।,"O Rama, O mighty-armed one, hear this eternal secret",Ram Ram mahabaho shrinu guhyam sanatanum
,,येन सर्वानरीन् वत्स समरे विजयिष्यसि॥,"By which you will conquer all enemies in battle, O dear one",Yena sarvan areen vatsa samare vijayishyasi
,|| ॐ ||,,,
,,आदित्यहृदयं पुण्यं सर्वशत्रुविनाशनम्।,"This Aditya Hridaya is sacred, destroyer of all enemies",Aditya Hridayam punyam sarva shatru vinashanam
,,जयावहं जपेन्नित्यमक्षयं परमं शिवम्॥,Chanting it always brings victory — it is imperishable and supremely auspicious,Jayavaham japennityam akshayam paramam shivam
,|| ॐ ||,,,
,,सर्वमङ्गलमाङ्गल्यं सर्वपापप्रणाशनम्।,"It is the most auspicious of all auspicious things, destroyer of all sins",Sarva mangala mangalyam sarva papa pranashanam
,,चिन्ताशोकप्रशमनमायुर्वर्धनमुत्तमम्॥,It removes anxiety and grief and is the best enhancer of life,Chintashoka prashamanam ayurvardhanamutt amam
,|| ॐ ||,,,
,,एष ब्रह्मा च विष्णुश्च शिवः स्कन्दः प्रजापतिः।,"He is Brahma, Vishnu, Shiva, Skanda and Prajapati",Esha Brahma cha Vishnushcha Shivah Skandah Prajapatih
,,महेन्द्रो धनदः कालो यमः सोमो ह्यपां पतिः॥,"He is Mahendra, Kubera, Kala, Yama, Soma and the lord of waters",Mahendro dhanadah kalo Yamah Somo hyapam patih
,|| अंत ||,,,
