line_number,section,hindi,english,roman
1.0,,आदिलक्ष्मि नमस्तेऽस्तु परब्रह्मस्वरूपिणि।,"Salutations to Adilakshmi, O embodiment of the Supreme Brahman",Adilakshmi namaste astu Para Brahma svarupini
,,यशो देहि धनं देहि सर्वकामांश्च देहि मे॥,"Grant me fame, grant me wealth, grant me all desires",Yasho dehi dhanam dehi sarva kaman cha dehi me
,|| ॐ ||,,,
,,धान्यलक्ष्मि नमस्तेऽस्तु धान्यपूर्णे शुभे शुभे।,"Salutations to Dhanyalakshmi, O one full of grain, auspicious and pure",Dhanyalakshmi namaste astu dhanya purne shubhe shubhe
,,धान्यसम्पत्प्रदे देवि सर्वसम्पत् प्रदायिनि॥,"O Goddess who bestows the wealth of grain, giver of all prosperity",Dhanya sampat prade Devi sarva sampat pradayini
,|| ॐ ||,,,
,,धैर्यलक्ष्मि नमस्तेऽस्तु जय जय लक्ष्मि धैर्यरूपे।,"Salutations to Dhairyalakshmi — victory, victory to Lakshmi embodiment of courage",Dhairya lakshmi namaste astu jaya jaya Lakshmi dhairya rupe
,,वरदे परमेशानि देहि मे धैर्यमुत्तमम्॥,"O boon-giver, supreme ruler, grant me excellent courage",Varade Parameshani dehi me dhairyam uttamam
,|| ॐ ||,,,
,,गजलक्ष्मि नमस्तेऽस्तु सदा मम हृदि स्थिता।,"Salutations to Gajalakshmi, ever residing in my heart",Gajalakshmi namaste astu sada mama hridi sthita
,,नित्यं लक्ष्मि महालक्ष्मि देहि मे परमं सुखम्॥,"O eternal Lakshmi, Mahalakshmi, grant me supreme happiness",Nityam Lakshmi Mahalakshmi dehi me paramam sukham
,|| ॐ ||,,,
,,एवमष्टविधा लक्ष्मीः स्तोत्रेण श्रृणुयात् कृतम्।,Thus whoever listens to this composed stotra of the eight forms of Lakshmi,Evam ashta vidha Lakshmih stotren shrinuyat kritam
,,तस्य लक्ष्मीर्न चलति जायते धनसम्पदम्॥,Lakshmi does not leave him and wealth and prosperity are born for him,Tasya Lakshmirna chalati jayate dhana sampadam
,|| अंत ||,,,
