line_number,section,hindi,english,roman
1.0,,"भगवत्यम्बे भगवत्यम्बे, भगवत्यम्बे नमो नमः।","O divine Mother, O divine Mother, O divine Mother — salutations",Bhagavatyambe Bhagavatyambe Bhagavatyambe namo namah
,,"जय जय माता जय जय माता, सर्वजगत्माता नमो नमः॥","Victory Mother, victory Mother, Mother of all the universe — salutations",Jaya jaya mata jaya jaya mata sarva jagat mata namo namah
,|| ॐ ||,,,
,,"चण्डि चण्डि चण्डिके, चण्डिके नमो नमः।","O Chandi, Chandi, Chandike, Chandike — salutations",Chandi Chandi Chandike Chandike namo namah
,,"दुर्गे दुर्गे दुर्गतिहारिणी, दुर्गतिहारिणी नमः॥","O Durga, Durga, remover of misfortune — salutations to the remover of misfortune",Durge Durge durgati harini durgati harini namah
,|| ॐ ||,,,
,,महालक्ष्मी महाकाली महासरस्वती नमः।,"Salutations to Mahalakshmi, Mahakali and Mahasaraswati",Mahalakshmi Mahakali Mahasaraswati namah
,,"त्रिशक्तिरूपे भगवति, जगन्माता नमो नमः॥","O Goddess of three powers, O divine Mother of the world — salutations",Tri shakti rupe Bhagavati Jagat mata namo namah
,|| ॐ ||,,,
,,भगवतीस्तोत्रमिदं यः पठेद् भक्तिमान् नरः।,Whoever reads this Bhagavati Stotram with devotion,Bhagavati stotram idam yah pathed bhakti man narah
,,महाशक्तेः प्रसादेन सर्वसिद्धिमवाप्नुयात्॥,By the grace of the great Shakti attains all perfections,Maha shakteh prasadena sarva siddhi mavapnuyat
,|| अंत ||,,,
