line_number,section,hindi,english,roman
1.0,,"भज गोविन्दं भज गोविन्दं, गोविन्दं भज मूढमते।","Worship Govinda, worship Govinda, worship Govinda, O foolish mind","Bhaj Govindam Bhaj Govindam, Govindam bhaj mudhamate"
,,"सम्प्राप्ते सन्निहिते काले, नहि नहि रक्षति डुकृञ्करणे॥","When the time of death comes near, the rules of grammar will not save you","Samprapte sannihite kale, nahi nahi rakshati Dukrinkarane"
,|| ॐ ||,,,
,,"मूढ जहीहि धनागमतृष्णां, कुरु सद्बुद्धिं मनसि वितृष्णाम्।","O fool, abandon the greed for wealth, cultivate right understanding free from desire","Mudha jahihi dhanagama trisnam, kuru sadbuddhim manasi vitrisnam"
,,"यल्लभसे निजकर्मोपात्तं, वित्तं तेन विनोदय चित्तम्॥",Be content with whatever you obtain through your own righteous effort,"Yallabhase nija karmopattam, vittam tena vinodaya chittam"
,|| ॐ ||,,,
,,"नारीस्तनभर नाभीदेशं, दृष्ट्वा मा गा मोहावेशम्।",Do not be deluded by the sight of a woman's bosom and navel,"Naristanabhara nabhidesham, drishtva ma ga mohavesham"
,,"एतन्मांसवसादिविकारं, मनसि विचिन्तय वारं वारम्॥",Reflect again and again in the mind that this is merely a modification of flesh and fat,"Etanmamsa vasadi vikaram, manasi vichintaya varam varam"
,|| ॐ ||,,,
,,"वयसि गते कः कामविकारः, शुष्के नीरे कः कासारः।",When youth is gone what passion remains? When water dries up what is the lake?,"Vayasi gate kah kama vikarah, shushke nire kah kasarah"
,,"क्षीणे वित्ते कः परिवारः, ज्ञाते तत्त्वे कः संसारः॥",When wealth is gone who are the family? When truth is known what is the world?,"Ksheene vitte kah parivara, gnate tattve kah samsarah"
,|| ॐ ||,,,
,,"कुरु सत्सङ्गं त्यज दुःसङ्गं, भज नित्यमनित्यमुपेहि।","Seek the company of saints, abandon bad company, worship daily and approach the eternal","Kuru satsangam tyaja dussangam, bhaja nityamanityamupaihi"
,,"अर्थमनर्थं भावय नित्यं, नास्तिततः सुखलेशः सत्यम्॥",Regard wealth as dangerous always — truly there is not even a trace of happiness in it,"Artham anartham bhavaya nityam, nastitat sukhaleshah satyam"
,|| अंत ||,,,
