line_number,section,hindi,english,roman
1.0,,"न तातो न माता न बन्धुर्न दाता,","I have no father, no mother, no relative, no giver",Na tato na mata na bandhurna data
,,न पुत्रो न पुत्री न भृत्यो न भर्ता।,"No son, no daughter, no servant, no husband",Na putro na putri na bhrityo na bharta
,,"न जाया न विद्या न वृत्तिर्ममैव,","No wife, no knowledge, no occupation of my own",Na jaya na vidya na vritti mamaiva
,,गतिस्त्वं गतिस्त्वं त्वमेका भवानि॥,"You are my refuge, you are my refuge, you alone O Bhavani",Gatistvam gatistvam tvameka Bhavani
,|| ॐ ||,,,
,,"भवाब्धावपारे महादुःखभीरु,","Fearful in the unfathomable ocean of existence, full of great sorrow",Bhavaabdhav apare maha duhkha bhiru
,,पपात प्रकामी प्रलोभी प्रमत्तः।,"I have fallen, full of desire, greed and delusion",Papata prakami pralobhi pramattah
,,"कुसंसारपाशप्रबद्धः सदाहं,",Always bound by the noose of bad worldly existence,Kusamsara pasha prabaddhah sada aham
,,गतिस्त्वं गतिस्त्वं त्वमेका भवानि॥,"You are my refuge, you are my refuge, you alone O Bhavani",Gatistvam gatistvam tvameka Bhavani
,|| ॐ ||,,,
,,"न मोक्षस्य वाञ्छा न मे भक्तिवाञ्छा,",I desire neither liberation nor devotion,Na mokshaya vanchha na me bhakti vanchha
,,विचित्रे महाव्याधिके संसारे।,In this strangely afflicted world of suffering,Vichit re maha vyadhike samsare
,,"इदं त्वं दयालुर्ददासीति नित्यं,",You O compassionate one give this always,Idam tvam dayalur dadasi ti nityam
,,गतिस्त्वं गतिस्त्वं त्वमेका भवानि॥,"You are my refuge, you are my refuge, you alone O Bhavani",Gatistvam gatistvam tvameka Bhavani
,|| अंत ||,,,
