line_number,section,hindi,english,roman
1.0,,क्रीं क्रीं क्रीं हिं हिं हिं दक्षिणकालिके।,"Kreem Kreem Kreem Him Him Him, O Dakshina Kalika",Kreem Kreem Kreem Him Him Him Dakshina Kalike
,,क्रीं हिं दक्षिणकालिके क्रीं हिं स्वाहा॥,Kreem Him Dakshina Kalike Kreem Him Svaha,Kreem Him Dakshina Kalike Kreem Him Svaha
,|| ॐ ||,,,
,,नमस्ते दक्षिणामुखि कालिके कालहारिणि।,"Salutations to you O south-facing Kalika, destroyer of time",Namaste Dakshina mukhi Kalike kala harini
,,महिषासुरसंहर्त्रि शुम्भघ्नि दुर्गे नमः॥,"O destroyer of Mahishasura, slayer of Shumbha, Durga — salutations",Mahishasura samhartri Shumbhag hni Durge namah
,|| ॐ ||,,,
,,"खड्गहस्ते खप्परहस्ते, मुण्डमालाविभूषिते।","With sword in hand, skull-cup in hand, adorned with skull garland",Khadga haste khappara haste mundamala vibhushite
,,"कालभैरवप्रिये देवि, काली काली नमोऽस्तु ते॥","O Goddess beloved of Kala Bhairava, Kali, Kali — salutations to you",Kala Bhairava priye Devi Kali Kali namo astu te
,|| ॐ ||,,,
,,दक्षिणकालिकास्तोत्रं यः पठेन्नित्यमादरात्।,Whoever reads this Dakshina Kalika Stotram daily with reverence,Dakshina Kalika stotram yah pathet nityam adarat
,,शत्रुनाशं बलं प्राप्य सर्वसिद्धिमवाप्नुयात्॥,"After destroying enemies and gaining strength, attains all perfections",Shatru nasham balam prapya sarva siddhi mavapnuyat
,|| अंत ||,,,
