line_number,section,hindi,english,roman
1.0,,"विश्वं दर्पणदृश्यमाननगरीतुल्यं निजान्तर्गतं,","The universe is like a city seen reflected in a mirror, contained within oneself",Vishvam darpana drishyamana nagari tulyam nijantargatam
,,पश्यन्नात्मनि मायया बहिरिवोद्भूतं यथा निद्रया।,"Seeing through Maya as if risen externally, as in a dream",Pashyann atmani mayaya bahiri vodbhutam yatha nidhraya
,,"यः साक्षात्कुरुते प्रबोध समये स्वात्मानमेवाद्वयं,",He who at the time of awakening directly realises the non-dual self alone,Yah sakshatkurute prabodha samaye sva atmanam eva advayam
,,तस्मै श्रीगुरुमूर्तये नम इदं श्रीदक्षिणामूर्तये॥,"To that Guru-form, Sri Dakshinamurthy — this salutation",Tasmai Shri Gurumurtaye namaidam Shri Dakshinamurtaye
,|| ॐ ||,,,
,,"बीजस्यान्तरिवाङ्कुरो जगदिदं प्राङ्निर्विकल्पं पुनः,","As a sprout lies within a seed, this universe lies undifferentiated before manifestation",Bijasya antariva ankuro jagadidam prangnirvikalpam punah
,,मायाकल्पितदेशकालकलनावैचित्र्यचित्रीकृतम्।,Depicted in the wonderful variety of space-time divisions created by Maya,Maya kalpita desha kala kalanavaichi trya chitriki ritam
,,"मायावीव विजृम्भयत्यपि महायोगीव यः स्वेच्छया,","Like a magician, like a great yogi, who unfolds the world by his own will",Mayaviva vijrimbhayatyapi maha yogiva yah svechhaya
,,तस्मै श्रीगुरुमूर्तये नम इदं श्रीदक्षिणामूर्तये॥,"To that Guru-form, Sri Dakshinamurthy — this salutation",Tasmai Shri Gurumurtaye namaidam Shri Dakshinamurtaye
,|| ॐ ||,,,
,,"सर्वात्मत्वमिति स्फुटीकृतमिदं यस्मादमुष्मिन् स्तवे,",Because the nature of being the Self of all is clearly shown in this hymn,Sarvatmatvam iti sphutikritam idam yasmat amumin stave
,,तेनास्य श्रवणात्तदर्थमननाद्ध्यानाच्च संकीर्तनात्।,"By hearing it, reflecting on its meaning, meditating and singing it",Tenasya shravanaat tad artha mananad dhyanachcha sankirtanat
,,"सर्वात्मत्वमहाविभूतिसहितं स्यादीश्वरत्वं स्वतः,",One naturally attains the Godhood endowed with the great glory of being the Self of all,Sarvatmatva maha vibhuti sahitam syad Ishvaratvam svatah
,,सिद्ध्येत्तत्पुनरष्टधा परिणतं चैश्वर्यमव्याहतम्॥,And the eightfold lordship becomes unobstructed perfection,Siddhi yet tat punar ashtadha parinratam chaishvaryam avyahatam
,|| अंत ||,,,
