line_number,section,hindi,english,roman
1.0,,"न मन्त्रं नो यन्त्रं तदपि च न जाने स्तुतिमहो,","I know no mantra, no yantra, and alas I know no praise",Na mantram no yantram tadapi cha na jane stutim aho
,,न चाह्वानं ध्यानं तदपि च न जाने स्तुतिकथाः।,"I know not how to invoke you, nor how to meditate, nor your stories of praise",Na chahvanam dhyanam tadapi cha na jane stuti kathah
,,"न जाने मुद्रास्ते तदपि च न जाने विलपनं,","I know no mudras, and I know not how to lament before you",Na jane mudras te tadapi cha na jane vilapanam
,,परं जाने मातस्त्वदनुसरणं क्लेशहरणम्॥,"But I know this, O Mother — following you removes all sorrow",Param jane matas tvad anusaranam klesha haranam
,|| ॐ ||,,,
,,"विधेरज्ञानेन द्रविणविरहेणालसतया,","Due to ignorance of rites, absence of wealth and laziness",Vidher agnyanena dravina virahena alasataya
,,विधेयाशक्त्या वा मदजनितमोहेन मनसः।,"Or due to inability to perform, or delusion born of pride in the mind",Vidheyashaktya va madajanitam mohena manasah
,,"कृतं वा अकृतं वा किमपि मम दोषं परिहर,",Whatever error I have committed or left undone — forgive all my faults,Kritam va akritam va kimapi mama dosham parihara
,,शिवेश्वरि त्वां मां शरणमिति याचे तव पदम्॥,"O Shiveshwari, I seek refuge at your feet — I implore you",Shiveshvari tvam mam sharananam iti yache tava padam
,|| ॐ ||,,,
,,अपराधसहस्राणि क्रियन्तेऽहर्निशं मया।,Thousands of offenses are committed by me day and night,Aparadha sahasrani kriyante aharnisham maya
,,दासोऽयमिति मां मत्वा क्षमस्व परमेश्वरि॥,"Considering me your servant, O supreme Goddess, forgive me",Daso ayam iti mam maatva kshamasva Parameshvari
,|| अंत ||,,,
