line_number,section,hindi,english,roman
1.0,,ॐ नमश्चण्डिकायै। मार्कण्डेय उवाच —,"Om, salutations to Chandika. Markandeya said —",Om namaschandi kayai. Markandeya Uvacha —
,,यद्गुह्यं परमं लोके सर्वरक्षाकरं नृणाम्।,"That which is most secret in the world, giving complete protection to men",Yad guhyam paramam loke sarva raksha karam nrinam
,|| ॐ ||,,,
,,यन्त्रं मन्त्रं तदा स्तोत्रं यत्तु देव्या उदाहृतम्।,"The Yantra, Mantra and Stotram spoken by the Goddess herself",Yantram Mantram tada stotram yattu devya udahritam
,,सर्वोपद्रवशान्त्यर्थं देव्या कवचं पठेत् सदा॥,One should always read the Devi Kavach for the removal of all calamities,Sarvo padrava shantyartham devya kavacham pathet sada
,|| ॐ ||,,,
,,जय त्वं देवि चामुण्डे जय भूतापहारिणि।,"Victory to you O Goddess Chamunda, victory to the remover of afflictions",Jaya tvam Devi Chamunde jaya bhutapaharini
,,जय सर्वगते देवि कालरात्रि नमोऽस्तु ते॥,"Victory to you O all-pervading Goddess, Kalaratri — salutations to you",Jaya sarvagate Devi Kalaratri namostu te
,|| ॐ ||,,,
,,प्राची रक्षतु माम् ऐन्द्री आग्नेय्यां अग्निदेवता।,"May Aindri protect me in the East, Agni deity in the Southeast",Prachi rakshatu mam Aindri Agneyam Agnidevataa
,,दक्षिणेऽवतु वाराही नैऋत्यां खड्गधारिणी॥,"May Varahi protect me in the South, the sword-bearing one in the Southwest",Dakshine avatu Varahi Nairrityam Khadgadharini
,|| अंत ||,,,
