line_number,section,hindi,english,roman
1.0,,धनदा धनदे देवि सर्वकामप्रदायिनि।,"O Dhanada, giver of wealth, O Goddess who grants all desires",Dhanada dhanade Devi sarva kama pradayini
,,धन धान्यं प्रदेहि मे वित्तं च प्रदेहि मे॥,"Grant me wealth and grain, grant me riches too",Dhana dhanyam pradehi me vittam cha pradehi me
,|| ॐ ||,,,
,,हिरण्यगर्भे हरिणाक्षि लक्ष्मि क्षीरोदजाते मधुसूदनप्रिये।,"O golden-wombed, fawn-eyed Lakshmi, born from the milk ocean, beloved of Madhusudana",Hiranya garbhe harini akshi Lakshmi Kshirodajaate Madhu sudana priye
,,धनेश्वरि धन्यकरे धनाढ्ये सर्वेश्वरि मे धनमाशु देहि॥,"O mistress of wealth, maker of prosperity, rich in wealth, O mistress of all — quickly grant me wealth",Dhaneshvari dhanya kare dhanadhye Sarveshvari me dhana mashu dehi
,|| ॐ ||,,,
,,"सुवर्णधाराम् मणिरत्नमालाम्, पद्मासने पद्मकरे सुरेशि।","A stream of gold, a garland of gems and rubies, seated on lotus, holding lotus, O queen of gods",Suvarna dharam mani ratna malam padmasane padma kare Sureshi
,,"श्रीधरपत्नि मम शीघ्रमागच्छ, सम्पद्विभूषे वरदे नमस्ते॥","O consort of Shridhara, come to me quickly, adorned with prosperity, boon-giver — salutations",Shridhara patni mama shighram agachha sampat vibhushe varade namaste
,|| ॐ ||,,,
,,धनदालक्ष्मीस्तोत्रमिदं यः पठेद् भक्तिमान् नरः।,This Dhanada Lakshmi Stotram — whoever reads it with devotion,Dhanada Lakshmi stotram idam yah pathed bhakti man narah
,,धनं धान्यं सुखं पुत्रं लभते नात्र संशयः॥,"Attains wealth, grain, happiness and children — there is no doubt",Dhanam dhanyam sukham putram labhate natra samshayah
,|| अंत ||,,,
