line_number,section,hindi,english,roman
1.0,,"नमो नमो दीनबन्धो, नमो नमो जगद्गुरो।","Salutations to the friend of the humble, salutations to the world-teacher",Namo namo Dina bandho namo namo Jagad guru
,,"नमो नमो पाण्डुरङ्ग, विटोबा मायबाप तू॥","Salutations to Panduranga, you are Vithoba, mother and father",Namo namo Panduranga Vithoba maya bap tu
,|| ॐ ||,,,
,,"दीनबन्धु विठ्ठल देव, नामदेव तुकाराम।","Vithala the friend of the humble, Namadeva and Tukaram",Dinabandhu Vitthal Dev Namadeva Tukaram
,,"जनाबाई एकनाथ, पंढरपुरका श्याम॥","Janabai, Eknath, the dark one of Pandharpur",Janabai Ekanath Pandharapurka Shyam
,|| ॐ ||,,,
,,"भक्तों के दुख हर्ता, पंढरपुर में राजे।","Remover of devotees' pain, enthroned in Pandharpur",Bhakton ke dukh harta Pandharpur mein raaje
,,"रुक्मिणी के स्वामी, चरण कमल पर भ्राजे॥","Lord of Rukmini, shining at the lotus feet",Rukmini ke swami charan kamal par bhraaje
,|| ॐ ||,,,
,,"दीनबन्धो दीनबन्धो, जय जय विठ्ठला।","O friend of the humble, victory to Vithala",Dina bandho Dina bandho jaya jaya Vitthal
,,"पंढरपुर निवासिन्, हरि हरि गोविन्दा॥","O dweller of Pandharpur, Hari Hari Govinda",Pandharpur nivasin Hari Hari Govinda
,|| अंत ||,,,
