line_number,section,hindi,english,roman
1.0,,जयन्ती मङ्गला काली भद्रकाली कपालिनी।,"Jayanti, Mangala, Kali, Bhadrakali, Kapalini",Jayanti Mangala Kali Bhadrakali Kapalini
,,दुर्गा शिवा क्षमा धात्री स्वाहा स्वधा नमोऽस्तु ते॥,"Durga, Shiva, Kshama, Dhatri, Svaha, Svadha — salutations to you",Durga Shiva Kshama Dhatri Svaha Svadha namostu te
,|| ॐ ||,,,
,,जय त्वं देवि चामुण्डे जय भूतापहारिणि।,"Victory to you O Goddess Chamunda, victory to the remover of afflictions",Jaya tvam Devi Chamunde jaya bhutapaharini
,,जय सर्वगते देवि कालरात्रि नमोऽस्तु ते॥,"Victory all-pervading Goddess, Kalaratri — salutations to you",Jaya sarvagate Devi Kalaratri namostu te
,|| ॐ ||,,,
,,मधुकैटभविद्राविविधातृवरदे नमः।,Salutations to you who drove away Madhu and Kaitabha and granted boons to Brahma,Madhukaitabha vidhravi vidhatu varade namah
,,रूपं देहि जयं देहि यशो देहि द्विषो जहि॥,"Grant me beauty, grant me victory, grant me fame, destroy my foes",Rupam dehi jayam dehi yasho dehi dvisho jahi
,|| ॐ ||,,,
,,महिषासुरनिर्णाशि भक्तानां सुखदे नमः।,"Salutations to the destroyer of Mahishasura, giver of happiness to devotees",Mahishasura nirna shi bhaktanam sukhade namah
,,रूपं देहि जयं देहि यशो देहि द्विषो जहि॥,"Grant me beauty, grant me victory, grant me fame, destroy my foes",Rupam dehi jayam dehi yasho dehi dvisho jahi
,|| अंत ||,,,
