line_number,section,hindi,english,roman
1.0,,ॐ विमर्श रूपिणि देव्यै नमः।,"Om, salutations to the Goddess who is of the nature of reflection",Om Vimarsha rupini devyai namah
,,ॐ शिव उवाच: शृणु देवि प्रवक्ष्यामि कीलकं सर्वसिद्धिदम्।,"Om, Shiva said: Listen O Goddess, I will declare the Kilaka that grants all perfections",Om Shiva Uvacha: Shrunu Devi pravakshyami Kilakam sarva siddhi dam
,|| ॐ ||,,,
,,यस्य ज्ञानमात्रेण दुर्गापाठफलं लभेत्।,By the mere knowledge of which one gets the fruit of reading the Durga Saptashati,Yasya gnana matrena Durga patha phalam labhet
,,स्तोत्रं वै चण्डिकायाः तु प्रच्छन्नं यत्प्रकाशितम्॥,This hidden Stotram of Chandika is now revealed,Stotram vai Chandikayah tu prachchhannam yat prakashitam
,|| ॐ ||,,,
,,एतत्ते कथितं देवि सर्वरहस्यमुत्तमम्।,"O Goddess, I have told you this supreme secret",Etat te kathitam Devi sarva rahasyam uttamam
,,देव्यापराधक्षमापणं सर्वसिद्धिप्रदायकम्॥,"The forgiveness of offenses against the Goddess, bestower of all perfections",Devya aparadha kshampanam sarva siddhi pradayakam
,|| ॐ ||,,,
,,इति देव्याः कीलकस्तोत्रं संपूर्णम्।,Thus the Keelaka Stotram of the Goddess is complete,Iti devyah Kilaka stotram sampurnam
,,यः पठेत् सततं भक्त्या स सिद्धिं परमां लभेत्॥,Whoever reads it always with devotion attains the highest perfection,Yah pathet satatam bhaktya sa siddhim paramam labhet
,|| अंत ||,,,
