line_number,section,hindi,english,roman
1.0,,शिव उवाच — शृणु देवि प्रवक्ष्यामि कुञ्जिकास्तोत्रमुत्तमम्।,"Shiva says: Listen O Goddess, I shall declare the excellent Kunjika Stotram",Shiva Uvacha — Shrunu Devi pravakshyami Kunjika Stotram uttamam
,,येन मन्त्रप्रभावेण चण्डीजापः शुभो भवेत्॥,By the power of which mantra the chanting of the Chandi becomes auspicious,Yena mantra prabhavena Chandi japah shubho bhavet
,|| ॐ ||,,,
,,न कवचं नार्गलास्तोत्रं कीलकं न रहस्यकम्।,"No Kavacham, no Argala Stotram, no Kilakam, no secret text",Na kavacham na Argala Stotram Kilakam na rahasyakam
,,न सूक्तं नापि ध्यानं च न न्यासो न च वार्चनम्॥,"No Suktam, no meditation, no Nyasa, no worship is needed separately",Na suktam napi dhyanam cha na nyaso na cha varchanam
,|| ॐ ||,,,
,,कुञ्जिकापाठमात्रेण दुर्गापाठफलं लभेत्।,By the mere reading of the Kunjika one obtains the fruit of reading the Durga Saptashati,Kunjika patha matrena Durga patha phalam labhet
,,अति गुह्यतरं देवि देवानामपि दुर्लभम्॥,"This is most secret O Goddess, difficult to obtain even for gods",Ati guhyataram Devi devanam api durlabham
,|| ॐ ||,,,
,,ॐ ऐं ह्रीं क्लीं चामुण्डायै विच्चे — ओम् ग्लौं हुं क्लीं जूं सः।,Om Aim Hreem Kleem Chamundayai Vichche — Om Glaum Hum Kleem Jum Sah,"Om Aim Hreem Kleem Chamundayai Vichche, Om Glaum Hum Kleem Jum Sah"
,,ज्वालिनी निर्मला मान्या शोभना शुम्भघातिनी॥,"Flaming, pure, honoured, beautiful, slayer of Shumbha",Jvalini nirmala manya shobhana shumbha ghatini
,|| अंत ||,,,
