line_number,section,hindi,english,roman
1.0,,सर्वमङ्गलमाङ्गल्ये शिवे सर्वार्थसाधिके।,"The most auspicious of all auspicious things, the auspicious, accomplisher of all goals",Sarva mangala mangalye Shive sarva artha sadhike
,,शरण्ये त्र्यम्बके गौरि नारायणि नमोऽस्तु ते॥,"O refuge, three-eyed Gauri, Narayani — salutations to you",Sharanyaye tryambake Gauri Narayani namostu te
,|| ॐ ||,,,
,,शरणागतदीनार्तपरित्राणपरायणे।,O devoted to protecting the distressed who take refuge,Sharanagata dina arta paritrana paraayane
,,सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तु ते॥,"O Goddess who removes the pain of all, Narayani — salutations",Sarvasya arti hare Devi Narayani namostu te
,|| ॐ ||,,,
,,या देवी सर्वभूतेषु शक्तिरूपेण संस्थिता।,The Goddess who is established in all beings in the form of power,Ya Devi sarva bhuteshu shakti rupena samsthita
,,नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥,"Salutations to her, salutations to her, salutations to her, salutations again and again",Namastasyai namastasyai namastasyai namo namah
,|| ॐ ||,,,
,,दुर्गाष्टकमिदं पुण्यं यः पठेद् भक्तिसंयुतः।,This sacred Durgashtakam — whoever reads it with devotion,Durga ashtakam idam punyam yah pathed bhakti samyutah
,,महाशक्तेः प्रसादेन सर्वसिद्धिमवाप्नुयात्॥,By the grace of the great Shakti attains all perfections,Maha shakteh prasadena sarva siddhi mavapnuyat
,|| अंत ||,,,
