line_number,section,hindi,english,roman
1.0,,सौराष्ट्रे सोमनाथं च श्रीशैले मल्लिकार्जुनम्।,Somnatha in Saurashtra and Mallikarjuna in Shrishailam,Saurastre Soma natham cha Shri Shaile Mallika arjunam
,,उज्जयिन्यां महाकालम् ओंकारं अमलेश्वरम्॥,Mahakal in Ujjain and Omkareshwara and Amleshwara,Ujjainyam Mahakalam Onkaram Amleshvaram
,|| ॐ ||,,,
,,परल्यां वैद्यनाथं च डाकिन्यां भीमशंकरम्।,Vaidyanatha in Parali and Bhimashankara in Dakini,Paralyam Vaidya natham cha Dakinyam Bhima shankaram
,,सेतुबन्धे च रामेशं नागेशं दारुकावने॥,Rameshwara at Setubandha and Nageshwara in Darukavana,Setu bandhe cha Ramesham Nagesham Darukavane
,|| ॐ ||,,,
,,वाराणस्यां च विश्वेशं त्र्यम्बकं गौतमीतटे।,Vishweshwara in Varanasi and Tryambaka on the banks of the Godavari,Varanasya am cha Vishvesham Tryambakam Gautami tate
,,हिमालये तु केदारं घृष्णेशं च शिवालये॥,Kedara in the Himalayas and Ghrishneshwara at Shivalaya,Himalaye tu Kedaram Ghrishnesh am cha Shivalaye
,|| ॐ ||,,,
,,एतानि ज्योतिर्लिङ्गानि सायं प्रातः पठेन्नरः।,Whoever reads these twelve Jyotirlingas in the evening and morning,Etani Jyotirlinga ni sayam pratah pathen narah
,,सप्तजन्मकृतं पापं स्मरणेन विनश्यति॥,The sins of seven births are destroyed by remembering them,Sapta janma kritam papam smaranena vinashyati
,|| अंत ||,,,
