line_number,section,hindi,english,roman
1.0,,ॐ नमस्ते गणपतये। त्वमेव प्रत्यक्षं तत्त्वमसि।,"Om, salutations to Ganesha. You alone are the visible truth (Tat tvam asi)",Om namaste Ganapate. Tvameva pratyaksham tattvamasi
,,त्वमेव केवलं कर्तासि। त्वमेव केवलं धर्तासि। त्वमेव केवलं हर्तासि।,"You alone are the doer, you alone are the sustainer, you alone are the destroyer",Tvameva kevalam kartasi. Tvameva kevalam dhartasi. Tvameva kevalam hartasi
,|| ॐ ||,,,
,,त्वमेव सर्वं खल्विदं ब्रह्मासि। त्वं साक्षादात्मासि नित्यम्॥,You truly are all this — you are Brahman; you are directly the eternal self,Tvameva sarvam khalvidam Brahmasi. Tvam sakshad atmaasi nityam
,|| ॐ ||,,,
,,ऋतं वच्मि। सत्यं वच्मि।,I speak what is right. I speak what is true,Ritam vachmi. Satyam vachmi
,,अव त्वं मां। अव वक्तारम्। अव श्रोतारम्। अव दातारम्।,"Protect me, protect the speaker, protect the listener, protect the giver",Ava tvam maam. Ava vaktaram. Ava shrotaram. Ava dataram
,|| ॐ ||,,,
,,त्वं गुणत्रयातीतः। त्वं देहत्रयातीतः। त्वं कालत्रयातीतः।,"You are beyond the three qualities, beyond the three bodies, beyond the three times",Tvam gunatrayatitah. Tvam dehatrayatitah. Tvam kalatrayatitah
,,त्वं मूलाधारस्थितोऽसि नित्यम्। त्वं शक्तित्रयात्मकः।,You are ever established in the Muladhara. You are the essence of the three Shaktis,Tvam muladhara sthitosi nityam. Tvam shakti traatmakah
,|| ॐ ||,,,
,,यो दूर्वाङ्कुरैः पूजयति स वैश्रवणोपमो भवति।,Whoever worships with Durva grass-sprouts becomes equal to Kubera in wealth,Yo durvankuraih pujayati sa Vaishravano pamo bhavati
,,यो मोदकसहस्रेण यजति स वाञ्छितफलमवाप्नोति॥,Whoever worships with a thousand modakas attains all desired fruits,Yo modaka sahasrena yajati sa vanchita phalamavapnoti
,|| अंत ||,,,
