line_number,section,hindi,english,roman
1.0,,"ॐ गणानां त्वा गणपतिं हवामहे,","Om, O leader of the ganas, we invoke you",Om Gananaam tva Ganapati havamahe
,,प्रियाणां त्वा प्रियपतिं हवामहे।,"O lord of the beloved ones, we invoke you",Priyanam tva priya patim havamahe
,,"निधीनां त्वा निधिपतिं हवामहे,","O lord of the treasures, we invoke you",Nidhinam tva nidhi patim havamahe
,,वसो मम। आहमजानि गर्भधमा त्वमजासि गर्भधम्॥,Be the giver of wealth to me. I attain you who are the holder of the womb,Vaso mama. Aaham janani garbhadhama tvam aja si garbhadham
,|| ॐ ||,,,
,,"गणेश कवचं पठेत्, सर्वसिद्धिं प्राप्नुयात्।",Whoever reads the Ganesha Kavach attains all perfections,Ganesha kavacham pathet sarva siddhim prapnuyat
,,"विघ्ना नश्यन्ति सर्वाणि, ज्ञानं च लभते नरः।",All obstacles are destroyed and the person attains knowledge,Vighna nashyanti sarvani gyanam cha labhate narah
,,"गणेश नमस्ते, वक्रतुण्ड नमस्ते,","Ganesha, salutations; Vakratunda, salutations",Ganesha namaste vakratunda namaste
,,"एकदन्त नमस्ते, महागणपते नमः॥","Ekadanta, salutations; salutations to the great Ganapati",Ekadanta namaste maha ganapate namah
,|| ॐ ||,,,
,,इदं कवचं गणेशस्य यः पठेद्भक्तिसंयुतः।,This Kavach of Ganesha — whoever reads it with devotion,Idam kavacham Ganeshaya yah pated bhakti samyutah
,,विघ्नराजप्रसादेन सर्वसिद्धिमवाप्नुयात्॥,By the grace of Vignaraja he attains all perfections,Vighna raja prasadena sarva siddhim avapnuyat
,|| अंत ||,,,
