line_number,section,hindi,english,roman
1.0,,"व्यालोकित त्रिभुवनं विरचय्य कर्म, सर्वं जगत्तव पदाम्बुजमाश्रयन्ते।","After surveying the three worlds and conducting all its actions, the whole world takes refuge at your lotus feet","Vyalokita tribhuvanam virachayya karma, sarvam jagattava padambujam ashrayante"
,,"धत्ते सदैव हृदये तव पादपद्मं, योऽनन्यभावितमना स जयत्यनन्तम्॥",He who always holds your lotus feet in his heart with undivided mind conquers the infinite,"Dhatte sadaiva hridaye tava padapadmam, yo ananya bhavita mana sa jayatyanantam"
,|| ॐ ||,,,
,,"सिन्दूरगौरतनुमाभरणैर्विभूषं, सत्पद्ममौलिमुपरि स्फुरितेन्दुबिम्बम्।","With a body golden-red as vermilion, adorned with ornaments, a true lotus as his crown with the moon gleaming above","Sindura gaura tanum abharanair vibhusham, sat padma maulim upari sphuritendubimbam"
,,"दन्तं त्रिशूलमभयं वरदं च हस्तैः, श्रीगणराजमभयप्रदमाश्रयामः॥","Holding tusk, trident, the gesture of fearlessness and boon-giving in his hands — we take refuge in the glorious Ganesha who grants fearlessness","Dantam trishulam abhayam varadam cha hastaih, Shri Ganarajam abhaya pradam ashrayamah"
,|| ॐ ||,,,
,,"मोदं करोति सततं मुनिचित्तमूर्तिः, श्रीविघ्नराजभवनं करुणापयोधिः।","The one whose form eternally delights the minds of sages, the abode of Lord Vignaraja, ocean of compassion","Modam karoti satatam muni chitta murtihi, Shri Vighna raja bhavanam karunapa yodhih"
,,"श्री शङ्करात्मजमनन्तमनन्तशक्तिं, श्रीगणराजमभयप्रदमाश्रयामः॥","The infinite son of Shankara, of infinite power — we take refuge in the glorious Ganesha who grants fearlessness","Shri Shankaratmajam anantam ananta shaktim, Shri Ganarajam abhaya pradam ashrayamah"
,|| ॐ ||,,,
,,अष्टकमिदं गणेशस्य यः पठेत् भक्तिसंयुतः।,Whoever reads this Ashtakam of Ganesha with devotion,Ashtakam idam Ganeshaya yah pathet bhakti samyutah
,,विद्यां धनं यशो राज्यं सुखं पुत्रादिसम्पदम्॥,"Attains learning, wealth, fame, sovereignty, happiness and the blessings of children and all prosperity",Vidyam dhanam yasho rajyam sukham putradi sampadam
,|| अंत ||,,,
