line_number,section,hindi,english,roman
1.0,,"मुदाकरात्तमोदकं सदा विमुक्तिसाधकं,","He who joyfully holds sweet modaka in his hand, who always leads to liberation",Muda karata modakam sada vimukti sadakam
,,कलाधरावतंसकं विलासिलोकरक्षकम्।,"Who wears the crescent moon as an ornament, who joyfully protects the world",Kala dharava tamsaka vilasi loka rakshakam
,,"अनायकैकनायकं विनाशितेभदैत्यकं,","The sole leader of the leaderless, who destroyed the elephant demon",Anayakaika nayakam vinashitebha daityakam
,,नताशुभाशुनाशकं नमामि तं विनायकम्॥,Who instantly destroys inauspiciousness for those who bow — I bow to that Vinayaka,Natashubhasu nashakam namami tam Vinayakam
,|| ॐ ||,,,
,,"नतेतरातिभीकरं नवोदितार्कभास्वरं,","Extremely fearsome to those who do not bow, radiant as the newly risen sun",Nate tara atibhikaram navodita arka bhasvaram
,,नमत्सुरारिनिर्जरं नताधिकापदुद्धरम्।,"Who reduces to nothing the enemies of those who bow, who lifts the devotees from great calamity",Namatsura arinirjaram natadhi kapaduddharam
,,"सुरेश्वरं निधीश्वरं गजेश्वरं गणेश्वरं,","Lord of gods, lord of treasures, lord of elephants, lord of Ganas",Sureshvaram Nidhishvaram Gajeshvaram Ganeshvaram
,,महेश्वरं तमाश्रये परात्परं निरन्तरम्॥,"The great Lord, supreme of the supreme — I take continuous shelter in him",Maheshvaram tam ashraye param param nirantaram
,|| ॐ ||,,,
,,"गणेशपञ्चरत्नमादरेण योऽन्वहं,",These five gems of Ganesha — whoever recites daily with reverence,Ganesha Pancharatnam adarena yo anvaham
,,प्रजल्पति प्रभातके हृदि स्मरन् गणेश्वरम्।,Reciting at dawn while remembering Ganesha in the heart,Prajalp ati prabhatakahe hridi smaran Ganeshvaram
,,"अरोगतामदोषतां सुसाहितीं सुपुत्रतां,","Attains freedom from disease, freedom from fault, good learning, good progeny",Arogatam adoshatam susahitam suputratam
,,समाहितायुरष्टभूतिमभ्युपैति सोऽचिरात्॥,And soon attains long life and all eight forms of prosperity,Samahitayur ashta bhutim abhy upaiti so achirat
,|| अंत ||,,,
