line_number,section,hindi,english,roman
1.0,,गणानां त्वा गणपतिं हवामहे कविं कवीनाम्।,"O leader of the ganas, we invoke you, the poet of poets",Gananam tva Ganapati havamahe kavim kavinam
,,ज्येष्ठराजं ब्रह्मणस्पत आ नः शृण्वन्नूतिभिः सीद सादनम्॥,"The eldest king, Lord of Brahma — hearing us, be seated in your sanctuary",Jyeshtha rajam Brahmanaspata a nah shrinvannuti bhih sida sadanam
,|| ॐ ||,,,
,,गणपतिर्विघ्नराजश्च लम्बोदर गजाननः।,"Ganapati, Vighnaraja, Lambodara, Gajanana",Ganapati Vighnarajashcha Lambodara Gajanana
,,महोदर विनायकश्च वक्रतुण्ड महाबलः॥,"Mahodara, Vinayaka, Vakratunda, Mahabala",Mahodara Vinayakashcha Vakra Tunda Maha bala
,|| ॐ ||,,,
,,एकदन्तश्चतुर्बाहुः मूषकवाहन मोदकप्रिय।,"Ekadanta, four-armed, mouse-rider, fond of modak sweets",Ekadantash chatur baahuh mushaka vahana modaka priya
,,सिद्धिदाता बुद्धिदाता प्रथमपूज्य गणेश्वर॥,"Giver of powers, giver of wisdom, first to be worshipped, Ganeshwara",Siddhi data Buddhi data prathama pujya Ganeshwara
,|| ॐ ||,,,
,,गणेशसहस्रनामस्तोत्रं यः पठेद् भक्तितः।,Whoever reads the Ganesha Sahasranama Stotram with devotion,Ganesha sahasranama stotram yah pathed bhaktitah
,,विघ्नराजप्रसादेन सर्वसिद्धिमवाप्नुयात्॥,By the grace of Vignaraja attains all perfections,Vighna raja prasadena sarva siddhi mavapnuyat
,|| अंत ||,,,
