line_number,section,hindi,english,roman
1.0,,देवि सुरेश्वरि भगवति गङ्गे त्रिभुवनतारिणि तरलतरङ्गे।,"O divine Goddess, queen of gods, Bhagavati Ganga, liberator of the three worlds, with restless waves",Devi Sureshvari Bhagavati Gange tribhuvana tarini tarala tarange
,,शंकरमौलिविहारिणि विमले मम मतिरास्तां तव पदकमले॥,O pure one who sports on the head of Shankara — may my mind rest at your lotus feet,Shankara mooli viharini vimale mama matir aastam tava padakamale
,|| ॐ ||,,,
,,भागीरथीसुखदायिनि मातस्तव जलमहिमा निगमे ख्यातः।,"O Bhagirathi, giver of happiness, Mother — the greatness of your waters is known in the Vedas",Bhagirathi sukhadayini matas tava jala mahima nigame khyatah
,,नाहं जाने तव महिमानं पाहि कृपामयि मामज्ञानम्॥,"I do not know your greatness — O compassionate one, protect this ignorant one",Naham jane tava mahimanam pahi kripamayi mam agyanam
,|| ॐ ||,,,
,,हरिपदपाद्यतरङ्गिणि गङ्गे हिमविधुमुक्ताधवलतरङ्गे।,"O Ganga flowing from the feet of Hari, with waves as white as snow and moon and pearls",Hari pada padya tarangini Gange hima vidhu mukta dhavala tarange
,,दूरीकुरु मम दुष्कृतिभारं कुरु कृपया भवसागरपारम्॥,Remove the burden of my evil deeds — with compassion take me across the ocean of existence,Duri kuru mama dushkruti bharam kuru kripaya bhava sagara param
,|| ॐ ||,,,
,,गङ्गाष्टकमिदं यः पठेन्नित्यं भक्त्या सुरेश्वरीं।,This Ganga Ashtakam — whoever reads it daily with devotion to the divine Goddess,Ganga ashtakam idam yah pathet nityam bhaktya Sureshvarim
,,मुच्यते सर्वपापेभ्यः शिवलोकं स गच्छति॥,Is freed from all sins and goes to the world of Shiva,Muchyate sarva papebhyah Shiva lokam sa gachchhati
,|| अंत ||,,,
