line_number,section,hindi,english,roman
1.0,,गौरीशाय नमस्तुभ्यं गौरीप्रियाय ते नमः।,"Salutations to Gaurisha, salutations to the beloved of Gauri",Gaurishaya namastubhyam Gauri priyaya te namah
,,शिवाय शंकराय च गिरिजाधवाय ते नमः॥,"Salutations to Shiva, Shankara and the husband of Girija",Shivaya Shankaraya cha Girija dhavaya te namah
,|| ॐ ||,,,
,,नमस्ते नागभूषाय नमस्ते गजचर्मणे।,"Salutations to the one adorned with serpents, wearing the elephant skin",Namaste naga bhushaya namaste gaja charma ne
,,नमस्ते त्रिशूलधर नमो भस्मावृताय च॥,"Salutations to the bearer of the trident, salutations to the one smeared with ash",Namaste trishula dhara namo bhasmavrittaya cha
,|| ॐ ||,,,
,,गौरीश गिरिजानाथ गिरीशानुचर प्रभो।,"O Gaurisha, lord of Girija, Lord of mountains attended by followers",Gaurisha Girija natha Girisha nuchara Prabho
,,जगत्पते जगन्नाथ जय शंकर शूलिने॥,"O lord of the world, Jagannatha, victory to Shankara the bearer of the spear",Jagat pate Jagannatha jaya Shankara Shuline
,|| ॐ ||,,,
,,गौरीशाष्टकमिदं यः पठेन्नित्यमाद्रतः।,Whoever reads this Gaurisha Ashtakam daily with reverence,Gaurisha ashtakam idam yah pathet nityam adratah
,,गौर्याः प्रसादं प्राप्नोति शिवसायुज्यमाप्नुयात्॥,Obtains the grace of Gauri and attains union with Shiva,Gauryah prasadam prapnoti Shiva sayujyam apnuyat
,|| अंत ||,,,
