line_number,section,hindi,english,roman
1.0,,सत्यं ज्ञानमनन्तं नित्यमनाकाशं परमाकाशम्।,"Truth, knowledge, infinite, eternal, not the sky but the supreme sky",Satyam gyanam anantam nityam anakasham param akasham
,,गोविन्दं प्रेमानन्दं चिदानन्दं सत्यानन्दम्॥,"Govinda the bliss of love, the bliss of consciousness, the bliss of truth",Govindam prema nandham chid anandam satya nandham
,|| ॐ ||,,,
,,व्योमाततं सोमसूत्रं विराजत्पीत कौशेयम्।,"Sky-pervading, thread of the moon, wearing radiant yellow silk",Vyoma tatam soma sutram virajat pita kauseyam
,,गोविन्दं प्रेमानन्दं चिदानन्दं सत्यानन्दम्॥,"Govinda the bliss of love, the bliss of consciousness, the bliss of truth",Govindam prema nandam chid anandam satya nandham
,|| ॐ ||,,,
,,"मेघाश्यामं पीतकौशेयवासं, श्रीवत्साङ्कं कौस्तुभाभरणम्।","Dark as clouds, wearing yellow silk, marked with Shrivatsa, adorned with Kaustubha gem",Megha shyamam pita kauseya vasam Shrivatsa ankam Kaustubha abharanam
,,गोविन्दं प्रेमानन्दं चिदानन्दं सत्यानन्दम्॥,"Govinda the bliss of love, the bliss of consciousness, the bliss of truth",Govindam prema nandham chid anandam satya nandham
,|| ॐ ||,,,
,,गोविन्दाष्टकमेतन्नित्यं गाति यः स्मरति भजति।,"This Govinda Ashtakam — whoever sings, remembers and worships it daily",Govinda ashtakam etan nityam gati yah smarati bhajati
,,गोविन्दं प्रेमानन्दं चिदानन्दं संप्राप्नोति।,"Attains Govinda, the bliss of love and the bliss of consciousness",Govindam prema nandam chid anandam samprapnoti
,|| अंत ||,,,
