line_number,section,hindi,english,roman
1.0,,नारायण करुणामय शरण मे भव।,"O Narayana, embodiment of compassion, be my refuge",Narayan karuna maya sharana me bhava
,,सर्वत्र भज गोविन्दं गोविन्दं गोविन्दम्।,"Everywhere worship Govinda, Govinda, Govinda",Sarvatra bhaja Govindam Govindam Govindam
,,गोपीजनप्रियकृष्ण गोविन्द दामोदर।,"O Krishna, beloved of the Gopis, Govinda, Damodara",Gopi jana priya Krishna Govinda Damodara
,,माधव माधव माधव भजे गोविन्दम्॥,"Madhava, Madhava, Madhava — I worship Govinda",Madhava Madhava Madhava bhaje Govindam
,|| ॐ ||,,,
,,गोविन्दं परमानन्दं गोविन्द स्मर सर्वदा।,"Govinda, supreme bliss — always remember Govinda",Govindam paramanandham Govinda smara sarvada
,,यमुनातटे निवसन्तं वेणुं वादयन्तम्।,"Dwelling on the banks of Yamuna, playing the flute",Yamuna tate nivasantam venum vadayantam
,,राधिकाप्रियमाधवं गोविन्द दामोदर।,"Madhava the beloved of Radhika, Govinda, Damodara",Radhika priya Madhavam Govinda Damodara
,,मधुरं मधुरं वपुः स्मर गोविन्दम्॥,"Sweet, sweet is his form — remember Govinda",Madhuram madhuram vapuh smara Govindam
,|| ॐ ||,,,
,,"स्नानं समाप्य रतिमेव विधाय नित्यं,",After completing the bath and performing daily worship with devotion,Snanam samapya ratim eva vidhaya nityam
,,गोविन्द दामोदर माधवेति।,"O Govinda, O Damodara, O Madhava",Govinda Damodara Madhaveti
,,"जप्यं जपन्नियमितैर्मनसः प्रसादं,",Chanting with mind that is steady and pure,Japyam japan niyamitaih manasah prasadam
,,प्राप्नोति नित्यं परमं पदम्॥,One always attains the supreme state,Prapnoti nityam paramam padam
,|| अंत ||,,,
