line_number,section,hindi,english,roman
1.0,,हनूमान् अञ्जनीसूनुः वायुपुत्रो महाबलः।,"Hanuman, son of Anjani, son of the Wind, of great strength",Hanuman Anjanisunuh Vayu putro Maha balah
,,रामेष्टः फल्गुणसखः पिंगाक्षोऽमितविक्रमः॥,"Dear to Rama, friend of Arjuna (Phalguna), reddish-eyed, of immeasurable heroism",Rameshta Phalguna sakhah pingakshoh amita vikramah
,|| ॐ ||,,,
,,उदधिक्रमणश्चैव सीताशोकविनाशनः।,He who crossed the ocean and destroyed Sita's grief,Udadhi kramanashchaiva Sita shoka vinashanah
,,लक्ष्मणप्राणदाता च दशग्रीवस्य दर्पहा॥,Giver of life to Lakshmana and destroyer of the pride of the ten-headed Ravana,Lakshmanaprana data cha Dashagrivasya darpaha
,|| ॐ ||,,,
,,वज्रकाया महातेजा रामचूडामणिप्रदः।,"With a thunderbolt body, greatly radiant, who gave Rama the crest jewel from Sita",Vajrakaya maha teja Rama chudamani pradah
,,रामदूतः प्रतापवान् वानरः केसरीसुतः॥,"Messenger of Rama, illustrious, the monkey, son of Kesari",Rama dutah prataapavan Vanarah Kesari sutah
,|| ॐ ||,,,
,,हनुमत्सहस्रनामस्तोत्रं यः पठेद् भक्तिमान्।,Whoever reads the Hanuman Sahasranama Stotram with devotion,Hanumat sahasranama stotram yah pathed bhaktiman
,,हनुमत्प्रसादाद् बलं विद्यां मोक्षं च लभते॥,"By Hanuman's grace attains strength, learning and liberation",Hanumat prasadad balam vidyam moksham cha labhate
,|| अंत ||,,,
