line_number,section,hindi,english,roman
1.0,,"जय हनुमान ज्ञान गुण सागर, जय कपीस तिहुँ लोक उजागर।","Victory to Hanuman, ocean of wisdom and virtue; victory to the lord of monkeys who illuminates the three worlds",Jaya Hanuman gyana guna sagara jaya Kapeesa tihun lok ujagar
,,"रामदूत अतुलित बल धामा, अंजनि-पुत्र पवनसुत नामा॥","Messenger of Ram, abode of incomparable strength; son of Anjani known as the son of the Wind",Rama duta atulit bal dhama Anjani putra Pavanasuta naama
,|| ॐ ||,,,
,,"हनुमान तण्डव करते हैं, तीनों लोक थर्राते हैं।","When Hanuman performs the Tandava, all three worlds tremble",Hanuman tandav karte hain teenon lok thartrate hain
,,"महावीर के बल से डरते, असुर सब भागते जाते हैं॥","Fearing the strength of the great hero, all demons flee",Mahaveer ke bal se darte asur sab bhagate jaate hain
,|| ॐ ||,,,
,,"वज्र देह दानव दलन, भूमि पर करते नृत्य।","With his thunderbolt body crushing demons, he dances on earth",Vajra deh danav dalan bhoomi par karte nritya
,,"राम भक्ति में मग्न होकर, करते आनंद का नित्य॥","Immersed in devotion to Ram, he daily performs this joyful dance",Rama bhakti mein magna hokar karte anand ka nitya
,|| ॐ ||,,,
,,"लाल देह लाली लसे, अरु धरि लाल लंगूर।","His red body glows brilliantly, bearing his red tail",Laal deh laali lase aru dhari laal langoor
,,"वज्र देह दानव दलन, जय जय जय कपि सूर।।","His thunderbolt body destroys demons — victory, victory, victory to the heroic monkey",Vajra deh danav dalan jaya jaya jaya kapi soor
,|| अंत ||,,,
