line_number,section,hindi,english,roman
1.0,,श्रियः कान्त कमलनाभ गरुडध्वज गोविन्द।,"O beloved of Lakshmi, lotus-naveled, Garuda-bannered, Govinda",Shriyah kanta Kamala nabha Garuda dhvaja Govinda
,,पुण्डरीकाक्ष पद्मपाद पद्मनाभ नारायण॥,"Lotus-eyed, with lotus feet, Padmanabha, Narayana",Pundari kaksha padma pada Padmanabha Narayana
,|| ॐ ||,,,
,,शरणागतदीनार्तपरित्राणपरायण।,You who are devoted to protecting the fallen and distressed who take refuge,Sharanagata dina arta paritrana parayana
,,कारुण्यजलधे श्रीश असुरारे नमोऽस्तु ते॥,"Ocean of compassion, lord of Lakshmi, enemy of demons — salutations to you",Karunya jaladhe Shrisha asurare namo astu te
,|| ॐ ||,,,
,,हरिशरणम् हरिशरणम् हरिशरणम् प्रभो।,"I seek refuge in Hari, in Hari, in Hari, O Lord",Hari sharanam Hari sharanam Hari sharanam prabho
,,सर्वभूतशरण्याय सर्वदुःखापहारिणे॥,"To the refuge of all beings, the remover of all sorrows",Sarva bhuta sharanyaya sarva duhkha apharini
,|| ॐ ||,,,
,,हरिशरणाष्टकमिदं यः पठेद् भक्तिसंयुतः।,Whoever reads this Hari Sharanastakam with devotion,Hari sharana ashtakam idam yah pathed bhakti samyutah
,,हरेः प्रसादं प्राप्नोति मोक्षं च परमं व्रजेत्॥,Attains the grace of Hari and goes to supreme liberation,Hareh prasadam prapnoti moksham cha paramam vrajet
,|| अंत ||,,,
