line_number,section,hindi,english,roman
1.0,,"कदाचित् कालिन्दीतटविपिनसङ्गीतकरवो,","Sometimes on the banks of the Kalindi river, producing music among the groves",Kadachit Kalindi tata vipina sangita karavo
,,मुदाभीरीनारीवदनकमलास्वादमधुपः।,Enjoying like a bee the lotus-faces of the joyful Abhira women,Muda bhiri nari vadana kamala asvada madhupah
,,"रमाशम्भुब्रह्मामरपतिगणेशार्चितपदो,","Whose feet are worshipped by Lakshmi, Shambhu, Brahma, Indra and Ganesha",Rama Shambhu Brahma amara pati Ganesha archita pado
,,जगन्नाथः स्वामी नयनपथगामी भवतु मे॥,May that Lord Jagannatha come before my eyes,Jagannathah swami nayana patha gami bhavatu me
,|| ॐ ||,,,
,,"भुजे सव्ये वेणुं शिरसि शिखिपिञ्छं कटितटे,","In his left arm a flute, on his head a peacock feather, at his waist",Bhuje savye venum shirasi shikhi pinchham kati tate
,,दुकूलं नेत्रान्ते सहचरकटाक्षं च विदधत्।,"Silk at his waist, bestowing loving glances from the corners of his eyes to companions",Dukoolam netrante sahachara kataksham cha vidadhat
,,"सदा श्रीमद्वृन्दावनवसतिलीलापरिचयो,",Ever familiar with the playful life of beautiful Vrindavan,Sada Shrimad Vrindavana vasati lila parichayo
,,जगन्नाथः स्वामी नयनपथगामी भवतु मे॥,May that Lord Jagannatha come before my eyes,Jagannathah swami nayana patha gami bhavatu me
,|| ॐ ||,,,
,,"महाम्भोधेस्तीरे कनकरुचिरे नीलशिखरे,","On the shore of the great ocean, on the golden beautiful blue-peaked hill",Mahambhodes tire kanaka ruchire neela shikhare
,,वसन् प्रासादान्तः सहजबलभद्रेण बलिना।,Dwelling within the palace with his mighty brother Balabhadra,Vasan prasadantah sahaja Balabhadhrena balina
,,"सुभद्रामध्यस्थः सकलसुरसेवावसरदो,","Standing between Subhadra, granting opportunity for service to all gods",Subhadra madhyasthah sakala sura seva vasarado
,,जगन्नाथः स्वामी नयनपथगामी भवतु मे॥,May that Lord Jagannatha come before my eyes,Jagannathah swami nayana patha gami bhavatu me
,|| अंत ||,,,
