line_number,section,hindi,english,roman
1.0,,देवराजसेव्यमानपावनाङ्घ्रिपङ्कजं,Whose pure lotus feet are served by Indra the king of gods,Devarajasevyamanapavananghripankajam
,,व्यालयज्ञसूत्रमिन्दुशेखरं कृपाकरम्।,"Who wears a serpent as sacred thread and the moon as crest jewel, the merciful one",Vyalayagnasutramindushkharam Kripaakaram
,,नारदादियोगिवृन्दवन्दितं दिगम्बरं,"Worshipped by yogis like Narada, clad in the sky (sky-clad)",Naradadi yogivrunda vanditam digambaram
,,काशिकापुराधिनाथकालभैरवं भजे॥,"I worship Kaal Bhairava, the supreme lord of Kashi",Kashikapuraadhinatha Kaalabhairavam bhaje
,|| ॐ ||,,,
,,भानुकोटिभास्वरं भवाब्धितारकं परं,"Resplendent as a crore suns, the supreme liberator from the ocean of existence",Bhanukotibhasvaram bhavaabdhi tarakam param
,,नीलकण्ठमीप्सितार्थदायकं त्रिलोचनम्।,The blue-throated one with three eyes who grants desired boons,Neelakantham ipsitarthadayakam trilochanam
,,कालकालमम्बुजाक्षमक्षशूलमक्षरं,"The destroyer of death, lotus-eyed, bearing the rosary and trident, the imperishable",Kaalakaalamabujakshamashashoola maksharam
,,काशिकापुराधिनाथकालभैरवं भजे॥,"I worship Kaal Bhairava, the supreme lord of Kashi",Kashikapuraadhinatha Kaalabhairavam bhaje
,|| ॐ ||,,,
,,शूलटङ्कपाशदण्डपाणिमादिकारणं,"Who holds trident, axe, noose and staff in his hands, the primordial cause",Shoolathankpashadandapanimadikaranam
,,श्यामकायमादिदेवमक्षरं निरामयम्।,"The dark-bodied primal deity, imperishable and free from all disease",Shyamakayamadi devam aksharam niramayam
,,भीमविक्रमं प्रभुं विचित्रताण्डवप्रियं,"Of fearsome valour and mastery, fond of the wondrous Tandava dance",Bhimavikramam prabhum vichitra tandava priyam
,,काशिकापुराधिनाथकालभैरवं भजे॥,"I worship Kaal Bhairava, the supreme lord of Kashi",Kashikapuraadhinatha Kaalabhairavam bhaje
,|| ॐ ||,,,
,,भूतसंघनायकं विशालकीर्तिदायकं,"Leader of the hosts of beings, bestower of vast glory",Bhutasanghanayakam vishalakirtidayakam
,,काशिवासलोकपुण्यपापशोधकं विभुम्।,"Who purifies the sins and merits of those who dwell in Kashi, the all-pervading",Kashivasaloka punyapapa shodhakam vibhum
,,नीतिमार्गकोविदं पुरातनं जगत्पतिं,"Expert in the paths of righteousness, the ancient Lord of the universe",Neeti marga kovidam puraatanam jagatpatim
,,काशिकापुराधिनाथकालभैरवं भजे॥,"I worship Kaal Bhairava, the supreme lord of Kashi",Kashikapuraadhinatha Kaalabhairavam bhaje
,|| अंत ||,,,
