line_number,section,hindi,english,roman
1.0,,ॐ क्रीं काल्यै नमः। ॐ क्रीं महाकाल्यै नमः।,"Om Kreem, salutations to Kali. Om Kreem, salutations to Mahakali",Om Kreem Kalyai namah. Om Kreem Mahakalyai namah
,,ॐ क्रीं कपालिन्यै नमः। ॐ क्रीं कमलासनायै नमः।,"Om Kreem, salutations to Kapalini. Om Kreem, salutations to the lotus-seated one",Om Kreem Kapalinyai namah. Om Kreem Kamalasanayai namah
,|| ॐ ||,,,
,,कालिका काली कपर्दिनी करालवदना।,"Kalika, Kali, Kapardini, with a fierce face",Kalika Kali Kapardini Karala vadana
,,कंकालमालिनी काम्या कमनीया कलावती॥,"Wearing a garland of bones, desirable, beautiful, endowed with all arts",Kankala malini kamya kamaniya kalavati
,|| ॐ ||,,,
,,दक्षिणा दक्षिणाराध्या दक्षिणागा दयाकरी।,"She who faces south, worshipped from the south, moving southward, compassionate",Dakshina Dakshinaradhya Dakshinaga dayakari
,,दानवा दानवमथनी दारिद्र्यनाशकारिणी॥,"The Goddess, destroyer of demons, destroyer of poverty",Danava danava mathani daridhrya nasha karini
,|| ॐ ||,,,
,,काली सहस्रनामानि पठेत् यः प्रत्यहं नरः।,Whoever reads the thousand names of Kali every day,Kali sahasra namani pathet yah pratyaham narah
,,स याति परमां सिद्धिं काल्याः प्रसादतः शुभम्॥,Attains the supreme perfection by the auspicious grace of Kali,Sa yati paramam siddhim Kalyah prasadatah shubham
,|| अंत ||,,,
