line_number,section,hindi,english,roman
1.0,,काली काली महाकाली कालिके परमेश्वरि।,"Kali, Kali, Mahakali, Kalike, the supreme Goddess",Kali Kali Mahakali Kalike Parameshvari
,,सर्वानन्दकरि माता शरण्ये त्वां नमाम्यहम्॥,"O Mother who brings all joy, the refuge — I bow to you",Sarvananda kari mata sharanyam tvam namamyaham
,|| ॐ ||,,,
,,"नमो नमो महाकाली, नमो भद्रकालिके।","Salutations, salutations to Mahakali, salutations to Bhadrakalika",Namo namo Mahakali namo Bhadrakalike
,,"खड्गहस्ते महाकाली, सर्वशत्रुविनाशिनि॥","O sword-bearing Mahakali, destroyer of all enemies",Khadga haste Mahakali sarva shatru vinashini
,|| ॐ ||,,,
,,"दक्षिणे कालिका रौद्री, तारिणी भवपारदा।","The southern Kalika the fierce, Tarini who takes one across existence",Dakshine Kalika raudri Tarini bhava parada
,,"श्मशानवासिनी देवी, सर्वसिद्धिप्रदायिनी॥","The Goddess who dwells in the cremation ground, bestower of all powers",Shmasana vasini Devi sarva siddhi pradayini
,|| ॐ ||,,,
,,कालिकाष्टकमिदं यः पठेन्नित्यमाद्रतः।,This Kalika Ashtakam — whoever reads it daily with reverence,Kalika ashtakam idam yah pathet nityam adratah
,,सर्वभयं नाशयति काल्याः प्रसादतः शुभम्॥,All fears are destroyed by the auspicious grace of Kali,Sarva bhayam nashayati Kalyah prasadatah shubham
,|| अंत ||,,,
