line_number,section,hindi,english,roman
1.0,,"नमो नमो कमलपते, नमो नमो विश्वनाथ।","Salutations to the lord of the lotus, salutations to the lord of the universe",Namo namo kamalapate namo namo Vishwanatha
,,"नमो नमो लक्ष्मीरमण, नमो नमो पद्मनाभ॥","Salutations to the delight of Lakshmi, salutations to Padmanabha",Namo namo Lakshmi ramana namo namo Padmanabha
,|| ॐ ||,,,
,,"कमलनयन कमलपद, कमलोद्भव परम।","Lotus-eyed, lotus-footed, born of the lotus, the Supreme",Kamala nayana kamala pada kamalod bhava param
,,"कमलावल्लभ गोविन्द, कमलापति नमो नमः॥","Beloved of Kamala (Lakshmi), Govinda — salutations to Kamalapati",Kamala vallabha Govinda Kamalapati namo namah
,|| ॐ ||,,,
,,श्रीवत्साङ्क शङ्खचक्रगदाधर हरे।,"Bearer of Shrivatsa, conch, discus and mace, O Hari",Shrivatsa anka Shankha chakra gadadhara Hare
,,नारायण हृषीकेश वासुदेव नमो नमः॥,"Narayana, Hrishikesha, Vasudeva — salutations",Narayana Hrishikesha Vasudeva namo namah
,|| ॐ ||,,,
,,कमलपत्यष्टकमिदं यः पठेन्नित्यमाद्रतः।,This Kamalapati Ashtakam — whoever reads it daily with reverence,Kamalapati ashtakam idam yah pathet nityam adratah
,,लक्ष्मीकटाक्षसम्प्राप्तिं धनसम्पत्तिमाप्नुयात्॥,Attains the gracious glance of Lakshmi and wealth and prosperity,Lakshmi kataksha sampraaptim dhana sampattim apnuyat
,|| अंत ||,,,
