line_number,section,hindi,english,roman
1.0,,"अङ्गं हरेः पुलकभूषणमाश्रयन्ती, भृङ्गाङ्गनेव मुकुलाभरणं तमालम्।","She who clings to the form of Vishnu adorned with horripilation, like a bee-woman to the Tamala tree with bud ornaments","Angam hareh pulaka bhushanam ashrayanti, bhringanga neva muku labharanam tamalam"
,,"अङ्गीकृताखिलविभूतिरपाङ्गलीला, माङ्गल्यदास्तु मम मङ्गलदेवतायाः॥","She who has accepted all glories, whose sidelong glance is sport — may the auspicious goddess of good fortune bless me","Angikeeta akhila vibhutir apanga leela, mangalya dastu mama mangala devataayah"
,|| ॐ ||,,,
,,"मुग्धा मुहुर्विदधती वदने मुरारेः, प्रेमत्रपाप्रणिहितानि गतागतानि।","The charming one, again and again casting shy glances filled with love at the face of Murari","Mugdha muhurvidadhati vadane Muraareh, prema trapa pranihitani gataagatani"
,,"माला दृशोर्मधुकरीव महोत्पले या, सा मे श्रियं दिशतु सागरसम्भवायाः॥",Her eyes move like bees on great lotuses — may that Lakshmi born of the ocean bestow prosperity on me,"Mala drishor madhukari va mahoutpale ya, sa me shriyam dishatu sagara sambhavayah"
,|| ॐ ||,,,
,,"आमीलिताक्षमधिगम्य मुदा मुकुन्दम्, आनन्दकन्दमनिमेषमनङ्गतन्त्रम्।","Approaching Mukunda with half-closed eyes, the source of bliss, unwinking, beyond Cupid","Amilita aksha madhigamya muda Mukundam, ananda kandam animesham ananga tantram"
,,"आकेकरस्थितकनीनिकपक्ष्मनेत्रं, भूत्यै भवेन्मम भुजङ्गशयाङ्गनायाः॥","The consort of the one lying on the serpent, with her eyes slightly turned — may she be my prosperity","Akekara sthita kaneenika pakshmane tram, bhutyai bhavanmama bhujanga shayanga nayah"
,|| ॐ ||,,,
,,देहि सौभाग्यमारोग्यं देहि मे परमं सुखम्।,"Grant me good fortune, grant me health, grant me supreme happiness",Dehi saubhagyam arogyam dehi me paramam sukham
,,रूपं देहि जयं देहि यशो देहि द्विषो जहि॥,"Grant me beauty, grant me victory, grant me fame, destroy my enemies",Rupam dehi jayam dehi yasho dehi dvisho jahi
,|| अंत ||,,,
