line_number,section,hindi,english,roman
1.0,,वसुदेवसुतं देवं कंसचाणूरमर्दनम्।,"The son of Vasudeva, the divine one, who crushed Kamsa and Chanura",Vasudeva sutam devam Kamsa Chanura mardanam
,,देवकीपरमानन्दं कृष्णं वन्दे जगद्गुरुम्॥,"The supreme joy of Devaki — I bow to Krishna, the world-teacher",Devaki paramanandham Krishnam vande Jagadgurum
,|| ॐ ||,,,
,,अतसीपुष्पसङ्काशं हारनूपुरशोभितम्।,"Radiant as the Atasi flower, adorned with garland and anklets",Atasi pushpa sankasham hara nupura shobhitam
,,रत्नकङ्कणकेयूरं कृष्णं वन्दे जगद्गुरुम्॥,"Wearing gem-studded bangles and armlets — I bow to Krishna, the world-teacher",Ratna kankana keyuram Krishnam vande Jagadgurum
,|| ॐ ||,,,
,,कुटिलालककशोभाढ्यं पूर्णचन्द्रनिभाननम्।,"With the glory of curling locks, with a face like the full moon",Kutilalaka shobhadhyam purna chandra nibhananam
,,विलासिनेत्रं विस्मेरवदनं कृष्णं वन्दे जगद्गुरुम्॥,"With playful eyes and a smiling face — I bow to Krishna, the world-teacher",Vilasi netram vismera vadanam Krishnam vande Jagadgurum
,|| ॐ ||,,,
,,मन्दारगन्धसंयुक्तं चारुहासं चतुर्भुजम्।,"Fragrant with Mandara flowers, with a beautiful smile, four-armed",Mandara gandha samyuktam charu hasam chaturbhujam
,,बर्हिपिञ्छावचूडाङ्गं कृष्णं वन्दे जगद्गुरुम्॥,"With peacock feather adorning the crest — I bow to Krishna, the world-teacher",Barhi pincha vachudangam Krishnam vande Jagadgurum
,|| ॐ ||,,,
,,उत्तरस्यां दिशि ध्यायेत् कृष्णं नीलाम्बुदप्रभम्।,"Meditate on Krishna in the northern direction, radiant as a dark rain-cloud",Uttarasyyam dishi dhyayet Krishnam nilambu daprabham
,,"इत्यष्टकं स्तोत्रमिदं पठेद्यः, कृष्णो भवेत्तस्य हि दर्शनेन॥",Whoever reads these eight stanzas — by the vision of Krishna he is blessed,"Ity ashtakam stotram idam pathedyah, Krishno bhavettasya hi darshanen"
,|| अंत ||,,,
