line_number,section,hindi,english,roman
1,॥दोहा॥,"मातु लक्ष्मी करि कृपा, करो हृदय में वास। मनोकामना सिद्ध करि, परुवहु मेरी आस॥","O Mother Lakshmi, be gracious, dwell in my heart; fulfil my desires and complete my hopes","Matu Lakshmi Kari Kripa, Karo Hriday Mein Vaas, Manokamna Siddh Kari, Paruvahu Meri Aas"
2,॥सोरठा॥,"यही मोर अरदास, हाथ जोड़ विनती करुं। सब विधि करौ सुवास, जय जननि जगदम्बिका॥","This is my only prayer, I bow with folded hands; in every way dwell here, victory to Mother Jagadambika","Yahi Mor Ardas, Haath Jod Vinti Karun, Sab Vidhi Karau Suvaas, Jai Janani Jagadambika"
3,॥चौपाई॥,"सिन्धु सुता मैं सुमिरौ तोही। ज्ञान, बुद्धि, विद्या दो मोही॥","O daughter of the ocean, I remember you; grant me knowledge, wisdom and learning","Sindhu Suta Main Sumirau Tohi, Gyan Buddhi Vidya Do Mohi"
4,,तुम समान नहिं कोई उपकारी। सब विधि पुरवहु आस हमारी॥,None is as beneficent as you; fulfil our hopes in every way,"Tum Saman Nahin Koi Upkaari, Sab Vidhi Purvahu Aas Hamari"
5,,जय जय जगत जननि जगदम्बा। सबकी तुम ही हो अवलम्बा॥,"Victory to the mother of the universe, Jagadamba; you alone are the support of all","Jai Jai Jagat Janani Jagdamba, Sabki Tum Hi Ho Avalamba"
6,,तुम ही हो सब घट घट वासी। विनती यही हमारी खासी॥,You dwell in every heart; this is our special prayer to you,"Tum Hi Ho Sab Ghat Ghat Vaasi, Vinti Yahi Hamari Khaasi"
7,,जगजननी जय सिन्धु कुमारी। दीनन की तुम हो हितकारी॥,"Victory to the world-mother, daughter of the ocean; you are the benefactress of the humble","Jagjanani Jai Sindhu Kumari, Deenan Ki Tum Ho Hitkaari"
8,,विनवौं नित्य तुमहिं महारानी। कृपा करौ जग जननि भवानी॥,"Daily I beseech you, O great queen; be gracious, O world-mother Bhavani","Vinavoun Nitya Tumahin Maharani, Kripa Karau Jag Janani Bhavani"
9,,केहि विधि स्तुति करौं तिहारी। सुधि लीजै अपराध बिसारी॥,"How shall I praise you; forgetting my faults, take care of me","Kehi Vidhi Stuti Karoun Tihari, Sudhi Leejai Apradh Bisari"
10,,कृपा दृष्टि चितवो मम ओरी। जगजननी विनती सुन मोरी॥,"Cast your gracious glance towards me; O world-mother, hear my prayer","Kripa Drishti Chitavo Mam Ori, Jagjanani Vinti Sun Mori"
11,,ज्ञान बुद्धि जय सुख की दाता। संकट हरो हमारी माता॥,"Giver of knowledge, wisdom and happiness; remove our troubles, O Mother","Gyan Buddhi Jai Sukh Ki Data, Sankat Haro Hamari Mata"
12,,क्षीरसिन्धु जब विष्णु मथायो। चौदह रत्न सिन्धु में पायो॥,When Vishnu churned the ocean of milk; fourteen gems were found in the ocean,"Kshirasindhu Jab Vishnu Mathayo, Chaudah Ratna Sindhu Mein Payo"
13,,चौदह रत्न में तुम सुखरासी। सेवा कियो प्रभु बनि दासी॥,Among the fourteen gems you are the treasure of joy; you served the Lord as his devotee,"Chaudah Ratna Mein Tum Sukhrasi, Seva Kiyo Prabhu Bani Daasi"
14,,जब जब जन्म जहां प्रभु लीन्हा। रुप बदल तहं सेवा कीन्हा॥,Wherever and whenever the Lord took birth; you changed your form and served him there,"Jab Jab Janm Jahan Prabhu Linha, Roop Badal Tahan Seva Kinha"
15,,स्वयं विष्णु जब नर तनु धारा। लीन्हेउ अवधपुरी अवतारा॥,When Vishnu himself took human form; he took avatar in Ayodhya,"Svayam Vishnu Jab Nar Tanu Dhara, Linheyu Avadhpuri Avatara"
16,,तब तुम प्रगट जनकपुर माहीं। सेवा कियो हृदय पुलकाहीं॥,Then you appeared in Janakpur; you served him with a thrilling heart,"Tab Tum Pragat Janakpur Mahin, Seva Kiyo Hriday Pulkaheen"
17,,अपनाया तोहि अन्तर्यामी। विश्व विदित त्रिभुवन की स्वामी॥,The inner-knower accepted you; the whole world knows you as mistress of all three worlds,"Apnaya Tohi Antaryami, Vishwa Vidit Tribhuvan Ki Swami"
18,,तुम सम प्रबल शक्ति नहीं आनी। कहं लौ महिमा कहौं बखानी॥,No power equal to yours has come; how far shall I describe your glory,"Tum Sam Prabal Shakti Nahin Aani, Kahan Lau Mahima Kahoun Bakhani"
19,,मन क्रम वचन करै सेवकाई। मन इच्छित वाञ्छित फल पाई॥,"Whoever serves you in thought, deed and word; receives the desired and wished-for fruit","Man Kram Vachan Karai Sevakai, Man Ichchhit Vanchit Phal Pai"
20,,तजि छल कपट और चतुराई। पूजहिं विविध भांति मन लाई॥,"Giving up deceit, cunning and cleverness; worship her in many ways with full attention","Taji Chhal Kapat Aur Chaturai, Pujaheen Vividh Bhaanti Man Lai"
21,,और हाल मैं कहौं बुझाई। जो यह पाठ करै मन लाई॥,Let me explain further; whoever recites this text with full attention,"Aur Haal Main Kahoun Bujhai, Jo Yeh Path Karai Man Lai"
22,,ताकौ कोई कष्ट न होई। मन इच्छित पावै फल सोई॥,No trouble comes to them; they receive the fruit their mind desires,"Takau Koi Kasht Na Hoi, Man Ichchhit Pavai Phal Soi"
23,,त्राहि त्राहि जय दुःख निवारिणि। त्रिविध ताप भव बन्धन हारिणी॥,"Save us, save us, victory to the remover of sorrows; destroyer of the three afflictions and bonds of existence","Trahi Trahi Jai Dukh Nivarini, Trividh Tap Bhav Bandhan Harini"
24,,जो चालीसा पढ़ै पढ़ावै। ध्यान लगाकर सुनै सुनावै॥,Whoever reads or has this chalisa read; listens or makes others listen with devotion,"Jo Chalisa Padhai Padhavai, Dhyan Lagakar Sunai Sunavai"
