line_number,section,hindi,english,roman
1.0,,"नमः श्री लक्ष्मीनारायण, लक्ष्मीनारायण।","Salutations to Shri Lakshmi-Narayana, Lakshmi-Narayana",Namah Shri Lakshmi Narayana Lakshmi Narayana
,,नमः श्री लक्ष्मीनारायणाय नमः॥,Salutations to Shri Lakshmi-Narayana — salutations,Namah Shri Lakshmi Narayanaya namah
,|| ॐ ||,,,
,,"लक्ष्मीकान्त लक्ष्मीपति, लक्ष्मीवल्लभ नारायण।","O beloved of Lakshmi, lord of Lakshmi, dear to Lakshmi, Narayana",Lakshmi kanta Lakshmi pati Lakshmi vallabha Narayana
,,रमापति रमाकान्त रमानाथ हरे नमः॥,"O lord of Rama (Lakshmi), beloved of Rama, master of Rama — salutations O Hari",Ramapati Ramakanta Ramanatha Hare namah
,|| ॐ ||,,,
,,"श्रीनिवास वेङ्कटेश, वेङ्कटाचलनायक।","Shrinivasa, Venkatesha, lord of the Venkata hill",Shrinivasa Venkatesha Venkata chala nayaka
,,"लक्ष्मीसमेत गोविन्द, नारायण नमो नमः॥","Govinda accompanied by Lakshmi, Narayana — salutations",Lakshmi sameta Govinda Narayana namo namah
,|| ॐ ||,,,
,,लक्ष्मीनारायणाष्टकं यः पठेद् भक्तितः सदा।,Whoever reads the Lakshmi-Narayana Ashtakam with devotion always,Lakshmi Narayana ashtakam yah pathed bhaktitah sada
,,सर्वसम्पद्विभूषः स्यात् वैकुण्ठं च समाश्रयेत्॥,Becomes adorned with all prosperity and takes shelter at Vaikuntha,Sarva sampat vibhusha syat Vaikuntham cha samashrayet
,|| अंत ||,,,
