line_number,section,hindi,english,roman
1.0,,लक्ष्मीनृसिंह मम देहि करावलम्बम्।,"O Lakshmi-Narasimha, give me the support of your hand",Lakshmi Nrisimha mama dehi kara avalambam
,,"संसारसागरनिमज्जनमुह्यमानं, लक्ष्मीनृसिंह मम देहि करावलम्बम्॥",I am drowning and confused in the ocean of worldly existence — O Lakshmi-Narasimha give me support,Samsara sagara nimajjana muhyamanam Lakshmi Nrisimha mama dehi karaavalambam
,|| ॐ ||,,,
,,"बालग्रहभूतपिशाचयक्षरक्षांसि, भीतं सदा सदसद् विजहि रोगान्।","Children-oppressing planetary spirits, ghosts, Pisachas, Yakshas, Rakshasas — always frighten them away, destroy good and bad diseases",Bala graha bhuta pishachayaksha rakshamsi bhitam sada sad asad vijahi rogan
,,"मां पाहि पाहि महाप्रभो, लक्ष्मीनृसिंह मम देहि करावलम्बम्॥","Protect me, protect me O great Lord — O Lakshmi-Narasimha give me support",Mam pahi pahi Mahaprabho Lakshmi Nrisimha mama dehi karaavalambam
,|| ॐ ||,,,
,,"अन्धस्य मे हृतविवेकमहाधनस्य, चोरैर्महाबलिभिरिन्द्रियनामधेयैः।","I am blind, my great treasure of discrimination has been stolen by the powerful thieves called the senses",Andhasya me hrita viveka maha dhanasya chorairmaha balibhir indriya namadheyaih
,,"मोहान्धकारकुहरे विनिपातितस्य, लक्ष्मीनृसिंह मम देहि करावलम्बम्॥",Cast into the cave of the darkness of delusion — O Lakshmi-Narasimha give me support,Mohaan dhakara kuhare vinipata tasya Lakshmi Nrisimha mama dehi kara avalambam
,|| ॐ ||,,,
,,"श्रीमत्पयोनिधिनिकेतन चक्रपाणे, भोगीन्द्रभोगमणिराजितपुण्यमूर्ते।","O auspicious dweller of the milk ocean, holder of the discus, whose holy form is adorned with gems on the serpent king",Shrimat payo nidhi niketana chakra pane bhogi ndra bhoga mani rajita punya murte
,,"योगीशसेव्यपदपद्म जगन्निवास, लक्ष्मीनृसिंह मम देहि करावलम्बम्॥","Whose lotus feet are served by the lord of yogis, O dwelling of the universe — give me support",Yogisha sevya pada padma jagat nivasa Lakshmi Nrisimha mama dehi karaavalambam
,|| अंत ||,,,
