line_number,section,hindi,english,roman
1.0,,लक्ष्मी: पद्मालया पद्मा पद्ममुखी पद्मनाभप्रिया।,"Lakshmi, dwelling on a lotus, Padma, lotus-faced, beloved of Padmanabha",Lakshmih padmalaya Padma padmamukhi Padmanabha priya
,,पद्मनाभी कमला पद्मिनी पद्मगन्धिनी॥,"Padmanabhi, Kamala, Padmini, lotus-scented",Padmanabhi Kamala Padmini padma gandhini
,|| ॐ ||,,,
,,पुण्डरीका वरारोहा शान्ता श्रीः श्रीमती सती।,"Pundarika, beautiful, peaceful, Sri, Shrimati, Sati",Pundarika vararo ha shanta Shrih Shrimati Sati
,,विमला विश्वजननी तुष्टिः पुष्टिर्धृतिः शिवा॥,"Vimala, world-mother, contentment, nourishment, fortitude, the auspicious",Vimala Vishva janani tushtih pushti dhritih Shiva
,|| ॐ ||,,,
,,"हिरण्मयी महालक्ष्मी, दुर्गा वसुधा धरणी।","Golden Mahalakshmi, Durga, earth-goddess, bearer of all",Hiranyamayi Mahalakshmi Durga Vasudha Dharani
,,"लोकमाता विश्वमाता, महाविद्या महेश्वरी॥","Mother of all worlds, mother of the universe, Mahavidya, Maheshwari",Loka mata Vishva mata Mahavidya Maheshvari
,|| ॐ ||,,,
,,लक्ष्मीसहस्रनामस्तोत्रं यः पठेद् भक्तितः सदा।,Whoever reads the Lakshmi Sahasranama Stotram with devotion always,Lakshmi sahasranama stotram yah pathed bhaktitah sada
,,अक्षयं धनसम्पत्तिं लभते लक्ष्मीकृपाबलात्॥,Attains inexhaustible wealth and prosperity by the power of Lakshmi's grace,Akshayam dhana sampattim labhate Lakshmi kripa balat
,|| अंत ||,,,
