line_number,section,hindi,english,roman
1.0,,लक्ष्मीनृसिंह नमस्तुभ्यं भक्तानाम् अभयप्रद।,"Salutations to Lakshmi-Narasimha, giver of fearlessness to devotees",Lakshmi Nrisimha namastubhyam bhaktanam abhaya prada
,,प्रह्लादवरदं देवं हिरण्यकशिपुघ्नकम्॥,The god who gave boons to Prahlada and slew Hiranyakashipu,Prahlada varadam devam Hiranya kashipu ghna kam
,|| ॐ ||,,,
,,"लक्ष्मीनृसिंह जय जय, जय जय लक्ष्मीनृसिंह।","Victory to Lakshmi-Narasimha, victory, victory, victory to Lakshmi-Narasimha",Lakshmi Nrisimha jaya jaya jaya jaya Lakshmi Nrisimha
,,"अहोबले अहोबला, जय जय लक्ष्मीनृसिंह॥","Victory at Ahobala, victory to Lakshmi-Narasimha",Ahobale Ahobala jaya jaya Lakshmi Nrisimha
,|| ॐ ||,,,
,,"उग्र नृसिंह भद्र नृसिंह, लक्ष्मी नृसिंह।","Fierce Narasimha, gentle Narasimha, Lakshmi-Narasimha",Ugra Nrisimha bhadra Nrisimha Lakshmi Nrisimha
,,"योग नृसिंह ज्वाला नृसिंह, पाहि नृसिंह॥","Yoga Narasimha, flaming Narasimha — protect us O Narasimha",Yoga Nrisimha Jvala Nrisimha pahi Nrisimha
,|| ॐ ||,,,
,,लक्ष्मीनृसिंहस्तोत्रं यः पठेद् भक्तितः सदा।,Whoever reads this Lakshmi-Narasimha Stotram with devotion always,Lakshmi Nrisimha stotram yah pathed bhaktitah sada
,,नृसिंहस्य प्रसादेन भयं नाशयति ध्रुवम्॥,By the grace of Narasimha all fear is certainly destroyed,Nrisimhasya prasadena bhayam nashayati dhruvam
,|| अंत ||,,,
