line_number,section,hindi,english,roman
1.0,,"कान्तिं विधुं मुखकमले विनिवेश्य देवी,",The Goddess placing the beauty of the moon in the lotus of her face,Kantim vidhum mukha kamale viniveshya Devi
,,श्रोणीभरं जलधिभूमिमिव स्वकीयम्।,Her hip suggesting the heaviness of the ocean floor,Shronibharam jaladhi bhumi miva svakiyam
,,"श्रीचक्रराजनिलयां सकलागमार्थां,","Dwelling in the Shri Chakra, the meaning of all scriptures",Shri Chakra raja nilayam sakala agamartham
,,वन्दे महेशसहजां त्रिपुरां शिवाम्॥,"I salute Tripura Shiva, sister of Mahesh, the auspicious one",Vande Mahesha sahajam Tripuram Shivam
,|| ॐ ||,,,
,,"बालां त्रिनेत्रविलसत्कुचभारनम्राम्,","The young one, bowed by the weight of her three-eyed beautiful bosom",Balam trinetara vilasat kucha bhara namram
,,गौरीं गिरीशजनितां पतगेन्द्रयानाम्।,"The fair Gauri born of the mountain lord, riding Garuda",Goureem Girisha janitam patagen drayanaM
,,"नित्यां त्रिकोणनिलयां प्रणवस्वरूपाम्,","The eternal one dwelling in the triangle, of the form of Pranava (Om)",Nityam trikona nilayam pranava svarupam
,,वन्दे महेशसहजां त्रिपुरां शिवाम्॥,"I salute Tripura Shiva, sister of Mahesh, the auspicious one",Vande Mahesha sahajam Tripuram Shivam
,|| ॐ ||,,,
,,ललितापञ्चकमिदं यः पठेद् भक्तिसंयुतः।,This Lalita Panchakam — whoever reads it with devotion,Lalita Panchakam idam yah pathed bhakti samyutah
,,सर्वसम्पत्समृद्धः स्यात् ललितायाः प्रसादतः॥,Becomes rich with all prosperity by the grace of Lalita,Sarva sampat samriddhah syat Lalitayah prasadatah
,|| अंत ||,,,
