line_number,section,hindi,english,roman
1.0,,ॐ ऐं ह्रीं श्रीं श्री माtre नमः।,Om Aim Hreem Shreem — salutations to the divine Mother Sri,Om Aim Hreem Shreem Sri Matre namah
,|| ॐ ||,,,
,,सिन्दूरारुणविग्रहां त्रिनयनां माणिक्यमौलिस्फुरत्,"She whose form is red as vermilion, three-eyed, with a crown of rubies gleaming",Sindura aruna vigrahaam trinayanam Manikyamaulisphurath
,,तारानायकशेखरां स्मितमुखीमापीनवक्षोरुहाम्।,"Wearing the stars as her crown, with a smiling face and full bosom",Taranaayaka shekharam smitamukhim aapeena vakshore ham
,,पाणिभ्यामलिपूर्णरत्नचषकं रक्तोत्पलं बिभ्रतीं,In her hands she holds a cup full of wine and a red lotus,Panibhyam alipurna ratna chashakam raktotpalam bibhrateem
,,सौम्यां रत्नघटस्थरक्तचरणां ध्यायेत् परामम्बिकाम्॥,"Gentle, feet red as gems in the vessel — meditate on the supreme Mother",Saumyam ratna ghata stha rakta charanam dhyayet Parambikam
,|| ॐ ||,,,
,,श्री माता श्री महाराज्ञी श्रीमत् सिंहासनेश्वरी।,"The divine Mother, the great queen, the Goddess of the auspicious throne",Shri Mata Shri Maharajni Shrimat sinhasaneshvari
,,चिदग्निकुण्डसम्भूता देवकार्यसमुद्यता॥,"Born from the fire-pit of pure consciousness, ever engaged in the work of the gods",Chidagni kundha sambhuta deva karya samudyata
,|| ॐ ||,,,
,,उद्यद्भानुसहस्राभा चतुर्बाहुसमन्विता।,"Radiant as a thousand rising suns, endowed with four arms",Udyad bhanu sahasrabha chatur bahu samanvita
,,रागस्वरूपापाशाढ्या क्रोधाकाराङ्कुशोज्ज्वला॥,"Embodiment of passion holding the noose, embodiment of wrath holding the bright goad",Raga svarupa pashaadhya krodhakara ankushojjvala
,|| ॐ ||,,,
,,एवं श्री ललिता देव्याः नाम्नां साहस्रकं जगुः।,Thus the thousand names of Sri Lalita Devi were sung,Evam Sri Lalita devyah namnam sahasrakam jaguh
,,यः पठेत् श्रद्धया नित्यं स प्रयाति परं पदम्॥,Whoever reads them with devotion daily attains the supreme state,Yah paathet shraddhaya nityam sa prayati param padam
,|| अंत ||,,,
