line_number,section,hindi,english,roman
1.0,,"ब्रह्ममुरारिसुरार्चितलिङ्गं, निर्मलभासितशोभितलिङ्गम्।","The Linga worshipped by Brahma, Vishnu and all the gods, the Linga shining with pure radiance","Brahmamurarisu rarchitalingam, nirmalabhasitashobhitalingam"
,,"जन्मजदुःखविनाशकलिङ्गं, तत् प्रणमामि सदाशिवलिङ्गम्॥",The Linga that destroys the sorrows born of birth — I bow to that Linga of Sadashiva,"Janmaja duhkha vinashaka lingam, tat pranamamis Sadashivalingam"
,|| ॐ ||,,,
,,"देवमुनिप्रवरार्चितलिङ्गं, कामदहं करुणाकरलिङ्गम्।","The Linga worshipped by the foremost of gods and sages, that burned Kama, the merciful Linga","Devamunipravararchita lingam, kamadaham karunakara lingam"
,,"रावणदर्पविनाशनलिङ्गं, तत् प्रणमामि सदाशिवलिङ्गम्॥",The Linga that destroyed the pride of Ravana — I bow to that Linga of Sadashiva,"Ravanadarpavinas ha nallingam, tat pranamamis Sadashivalingam"
,|| ॐ ||,,,
,,"सर्वसुगन्धिसुलेपितलिङ्गं, बुद्धिविवर्धनकारणलिङ्गम्।","The Linga anointed with all fragrant substances, the Linga that enhances intellect","Sarvasugandhisulipita lingam, buddhi vivardhana karana lingam"
,,"सिद्धसुरासुरवन्दितलिङ्गं, तत् प्रणमामि सदाशिवलिङ्गम्॥","The Linga revered by Siddhas, gods and demons — I bow to that Linga of Sadashiva","Siddhasura suravandita lingam, tat pranamamis Sadashivalingam"
,|| ॐ ||,,,
,,"कनकमहामणिभूषितलिङ्गं, फणिपतिवेष्टितशोभितलिङ्गम्।","The Linga adorned with gold and great gems, the Linga beautified by the coiling serpent king","Kanaka maha manibhushita lingam, phanipati veshtita shobhita lingam"
,,"दक्षसुयज्ञविनाशनलिङ्गं, तत् प्रणमामि सदाशिवलिङ्गम्॥",The Linga that destroyed the sacrifice of Daksha — I bow to that Linga of Sadashiva,"Daksha suyagna vinashana lingam, tat pranamamis Sadashivalingam"
,|| ॐ ||,,,
,,लिङ्गाष्टकमिदं पुण्यं यः पठेत् शिवसन्निधौ।,"This sacred Lingashtakam, whoever reads it in the presence of Shiva",Lingashtakam idam punyam yah pathet shiva sannidhau
,,शिवलोकमवाप्नोति शिवेन सह मोदते॥,Attains the world of Shiva and rejoices together with Shiva,Shivalokamavapnoti shivena saha modate
,|| अंत ||,,,
