line_number,section,hindi,english,roman
1.0,,"अधरं मधुरं वदनं मधुरं, नयनं मधुरं हसितं मधुरम्।","His lips are sweet, his face is sweet, his eyes are sweet, his smile is sweet",Adharam madhuram vadanam madhuram nayanam madhuram hasitam madhuram
,,"हृदयं मधुरं गमनं मधुरं, मधुराधिपतेरखिलं मधुरम्॥","His heart is sweet, his gait is sweet — everything about the Lord of Sweetness is sweet",Hridayam madhuram gamanam madhuram Madhuradhipaterakhilam madhuram
,|| ॐ ||,,,
,,"वचनं मधुरं चरितं मधुरं, वसनं मधुरं वलितं मधुरम्।","His words are sweet, his deeds are sweet, his garments are sweet, his waist-movement is sweet",Vachanam madhuram charitam madhuram vasanam madhuram valitam madhuram
,,"चलितं मधुरं भ्रमितं मधुरं, मधुराधिपतेरखिलं मधुरम्॥","His dance is sweet, his wandering is sweet — everything about the Lord of Sweetness is sweet",Chalitam madhuram bhramitam madhuram Madhuradhipaterakhilam madhuram
,|| ॐ ||,,,
,,"वेणुर्मधुरो रेणुर्मधुरः, पाणिर्मधुरः पादौ मधुरौ।","His flute is sweet, the dust of his feet is sweet, his hands are sweet, his feet are sweet",Venur madhuro renur madhurah panir madhurah padau madurau
,,"नृत्यं मधुरं सख्यं मधुरं, मधुराधिपतेरखिलं मधुरम्॥","His dance is sweet, his friendship is sweet — everything about the Lord of Sweetness is sweet",Nrityam madhuram sakhyam madhuram Madhuradhipaterakhilam madhuram
,|| ॐ ||,,,
,,"गीतं मधुरं पीतं मधुरं, भुक्तं मधुरं सुप्तं मधुरम्।","His song is sweet, his drinking is sweet, his eating is sweet, his sleep is sweet",Gitam madhuram pitam madhuram bhuktam madhuram suptam madhuram
,,"रूपं मधुरं तिलकं मधुरं, मधुराधिपतेरखिलं मधुरम्॥","His form is sweet, his tilak is sweet — everything about the Lord of Sweetness is sweet",Rupam madhuram tilakam madhuram Madhuradhipaterakhilam madhuram
,|| अंत ||,,,
