line_number,section,hindi,english,roman
1.0,,नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते।,"Salutations to you O great illusion, worshipped by gods at the auspicious seat",Namaste astu Mahamaye Shripite Sura pujite
,,शङ्खचक्रगदाहस्ते महालक्ष्मि नमोऽस्तु ते॥,"O bearer of conch, discus and mace — salutations to you O Mahalakshmi",Shankha chakra gadaa haste Mahalakshmi namostu te
,|| ॐ ||,,,
,,नमस्ते गरुडारूढे कोलासुरभयंकरि।,"Salutations to you mounted on Garuda, terrible to the demon Kola",Namaste Garuda rudhe Kolasura bhayankari
,,सर्वपापहरे देवि महालक्ष्मि नमोऽस्तु ते॥,O Goddess who removes all sins — salutations to you O Mahalakshmi,Sarva papa hare Devi Mahalakshmi namostu te
,|| ॐ ||,,,
,,सर्वज्ञे सर्ववरदे सर्वदुष्टभयंकरि।,"O omniscient one, granter of all boons, terrible to all wicked beings",Sarvagne sarva varade sarva dushta bhayankari
,,सर्वदुःखहरे देवि महालक्ष्मि नमोऽस्तु ते॥,O Goddess who removes all sorrows — salutations to you O Mahalakshmi,Sarva dukha hare Devi Mahalakshmi namostu te
,|| ॐ ||,,,
,,सिद्धिबुद्धिप्रदे देवि भुक्तिमुक्तिप्रदायिनि।,"O Goddess who bestows achievement and wisdom, giver of enjoyment and liberation",Siddhi buddhi prade Devi bhukti mukti pradayini
,,मन्त्रपूते सदा देवि महालक्ष्मि नमोऽस्तु ते॥,"Ever purified by mantras, O Goddess — salutations to you O Mahalakshmi",Mantra muurte sada Devi Mahalakshmi namostu te
,|| ॐ ||,,,
,,महालक्ष्म्यष्टकं स्तोत्रं यः पठेद्भक्तिमान् नरः।,This Mahalakshmi Ashtakam — whoever reads it with devotion,Mahalakshmy ashtakam stotram yah pathed bhaktiman narah
,,सर्वसिद्धिमवाप्नोति राज्यं प्राप्नोति सर्वदा॥,Attains all perfections and always attains sovereignty,Sarva siddhi mavapnoti rajyam prapnoti sarvada
,|| अंत ||,,,
