line_number,section,hindi,english,roman
1.0,,अयि गिरिनन्दिनि नन्दितमेदिनि विश्वविनोदिनि नन्दनुते,"O daughter of the mountain, who delights the earth, who sports with the universe, praised by Nanda",Ayi girinandini nanditamedini vishwavinodini nandanute
,,गिरिवरविन्ध्यशिरोऽधिनिवासिनि विष्णुविलासिनि जिष्णुनुते।,"Dwelling on the peaks of Vindhya mountain, playing with Vishnu, praised by Vishnu",Girivara Vindhya shiro adhi nivasini Vishnu vilasini Jishnunute
,,भगवति हे शितिकण्ठकुटुम्बिनि भूरिकुटुम्बिनि भूरिकृते,"O Goddess, consort of the blue-throated one (Shiva), with a vast family, doer of great deeds",Bhagavati he shitiakantha kutumbini bhuri kutumbini bhuri krite
,,जय जय हे महिषासुरमर्दिनि रम्यकपर्दिनि शैलसुते॥,"Victory, victory to you O slayer of Mahishasura, with beautiful matted locks, daughter of the mountain",Jaya jaya he Mahishasura mardini ramya kapardini shaila sute
,|| ॐ ||,,,
,,सुरवरवर्षिणि दुर्धरधर्षिणि रम्यकपर्दिनि शैलसुते,"Showering blessings on the best of gods, overpowering the unconquerable, beautiful-locked daughter of the mountain",Suravara varshini durdhara dharshini ramya kapardini shaila sute
,,त्रिभुवनपोषिणि शङ्करतोषिणि किल्बिषमोषिणि घोषरते।,"Nourisher of three worlds, pleaser of Shankara, destroyer of sins, rejoicing in battle-cries",Tribhuvana poshini Shankara toshini kilbisha moshini ghosha rate
,,दनुजनिरोषिणि दितिसुतरोषिणि दुर्मदशोषिणि सिन्धुसुते,"Enraging the sons of Danu and Diti, draining the pride of the arrogant, daughter of the ocean",Danuja niroshini Ditisuta roshini durmada shoshini sindhu sute
,,जय जय हे महिषासुरमर्दिनि रम्यकपर्दिनि शैलसुते॥,"Victory, victory to you O slayer of Mahishasura, beautiful-locked daughter of the mountain",Jaya jaya he Mahishasura mardini ramya kapardini shaila sute
,|| ॐ ||,,,
,,अयि रणदुर्मद शत्रुवधोदित दुर्धरनिर्जर शक्तिभृते,"O Goddess who arises to slay arrogant enemies in battle, bearing indestructible divine power",Ayi ranadurmaada shatru vahodita durdhara nirjara shakti bhrite
,,चतुरविचारधुरीणमहाशिव दूतकृतप्रमथाधिपते।,"O Supreme Shiva who wisely sent skilled messengers, lord of the Pramatha hosts",Chatura vichara dhurina mahashiva duta krita pramatha dhipate
,,दुरितदुरीह दुराशयदुर्मति दानवदुतकृतान्तमते,"Whose intent destroys wicked, greedy and evil-minded demons and their messengers",Durita duriiha durasaya durmati daanava duta kritanta mate
,,जय जय हे महिषासुरमर्दिनि रम्यकपर्दिनि शैलसुते॥,"Victory, victory to you O slayer of Mahishasura, beautiful-locked daughter of the mountain",Jaya jaya he Mahishasura mardini ramya kapardini shaila sute
,|| ॐ ||,,,
,,इति शुम्भनिशुम्भदलनि वर्णिते जय जय मार्कण्डेयकृते।,Thus described in the composition of Markandeya — victory in the slaying of Shumbha and Nishumbha,Iti shumbha nishumbha dalani varnite jaya jaya Markandeya krite
,,जय जय हे महिषासुरमर्दिनि रम्यकपर्दिनि शैलसुते॥,"Victory, victory to you O slayer of Mahishasura, beautiful-locked daughter of the mountain",Jaya jaya he Mahishasura mardini ramya kapardini shaila sute
,|| अंत ||,,,
