line_number,section,hindi,english,roman
1.0,,"मनोजवं मारुततुल्यवेगं, जितेन्द्रियं बुद्धिमतां वरिष्ठम्।","Swift as the mind, equal in speed to the Wind, master of the senses, foremost among the wise",Manojavam Maruta tulya vegam jitendriyam buddhi matam varishtham
,,"वातात्मजं वानरयूथमुख्यं, श्रीरामदूतं शिरसा नमामि॥","Son of the Wind, chief of the monkey hosts, messenger of Shri Rama — I bow my head to him",Vatatmajam Vanara yudha mukhyam Shri Rama dutam shirasa namami
,|| ॐ ||,,,
,,"शान्तिः समृद्धिः शक्तिर्भक्तिः, मारुतेः प्रसादाद् भवतु मे।","Peace, prosperity, power and devotion — may they come to me by Maruti's grace",Shantih samriddhih shaktir bhaktih Maruteh prasadad bhavatu me
,,रामदासं रामभक्तं श्रीरामस्य प्रियं सखम्।,"The servant of Rama, devotee of Rama, the dear friend of Shri Rama",Rama dasam Rama bhaktam Shri Ramasya priyam sakham
,|| ॐ ||,,,
,,"बल बुद्धि विद्या देहु मोहि, हरहु कलेश विकार।","Grant me strength, wisdom and learning — remove my afflictions and impurities","Bal buddhi vidya dehu mohi, harahu kalesh vikaar"
,,"संकटमोचन हनुमान, जय जय जय बजरंगबली॥","Sankatamochana Hanuman — victory, victory, victory to the thunderbolt-limbed hero","Sankat mochan Hanuman, jaya jaya jaya Bajrangabali"
,|| ॐ ||,,,
,,मारुतिस्तोत्रं यः पठेन्नित्यं भक्त्या प्रयत्नतः।,Whoever reads this Maruti Stotra daily with devotion and effort,Marutis stotram yah pathet nityam bhaktya prayatnatah
,,हनुमत्प्रसादाद् बलं विद्यां सुखं च लभते नरः॥,"By Hanuman's grace that person attains strength, learning and happiness",Hanumat prasadad balam vidyam sukham cha labhate narah
,|| अंत ||,,,
