line_number,section,hindi,english,roman
1.0,,"उद्यद्भानुसहस्रकोटिसदृशां केयूरहारोज्ज्वलां,","Radiant as a crore of rising suns, adorned with glowing armlets and garlands",Udyad bhanu sahasra koti sadrisham keyura haro jjvalam
,,बिम्बोष्ठीं स्मितदन्तपङ्क्तिरुचिरां पीताम्बरालंकृताम्।,"With lips red as bimba fruit, beautiful smile revealing white teeth, adorned in yellow silk",Bimbo shtim smita danta pankti ruchiraam pitambara lankritam
,,"विष्णुब्रह्मसुरेन्द्रसेवितपदां तत्त्वस्वरूपां शिवां,","Whose feet are served by Vishnu, Brahma and Indra, who is the truth itself, the auspicious",Vishnu Brahma surendra sevita padam tattva svarupam Shivam
,,मीनाक्षीं प्रणतोऽस्मि सन्ततमहं कारुण्यवारांनिधिम्॥,"I constantly bow to Meenakshi, ocean of compassion",Meenakshim pranato asmi santatam aham karunaya varnanidhim
,|| ॐ ||,,,
,,"मुक्तामणिनूपुराभिरमितां पद्मप्रभाकोमलां,","Adorned with anklets of gems and pearls, soft as the radiance of a lotus",Mukta mani nupura abhiramitam padma prabha komalam
,,पद्माभं परिपूर्णमांसलतनुं पद्मार्चितश्रीपदाम्।,"Whose body is full, fleshy and lotus-like, whose glorious feet are worshipped with lotuses",Padmabham paripurna amsal tanum padma archita shri padam
,,"माणिक्याभरणैः सुशोभितदिशो मालाधरं चारुणां,","Who illumines all directions with jewels, wearing garlands of beautiful flowers",Manikyabharanai sushobhita disho maladharam charunam
,,मीनाक्षीं प्रणतोऽस्मि सन्ततमहं कारुण्यवारांनिधिम्॥,"I constantly bow to Meenakshi, ocean of compassion",Meenakshim pranato asmi santatam aham karunaya varnanidhim
,|| ॐ ||,,,
,,"श्री विद्यां शिव वामभागनिलयां ह्रींकार मन्त्रोज्ज्वलां,","Sri Vidya, dwelling on the left side of Shiva, radiant with the Hreem mantra",Shri Vidyam Shiva vama bhaga nilayam hrinkara mantr ojjvalam
,,श्री चक्राङ्कित बिन्दुमध्यवसतिं श्री मत्सबाश्रीपदाम्।,"Dwelling in the bindu at the center of the Shri Chakra, with glorious auspicious feet",Shri chakrankita bindu madhya vasatim Shrimat sabha Shripadam
,,"श्री मत्षण्मुखविष्णुविश्वसहिता श्री शंकरेशस्प्रियां,","Dear to Shri Shankara, attended by Shanmukha, Vishnu and the universe",Shrimat Shanmukha Vishnu vishva sahita Shri Shankara Isha priyam
,,मीनाक्षीं प्रणतोऽस्मि सन्ततमहं कारुण्यवारांनिधिम्॥,"I constantly bow to Meenakshi, ocean of compassion",Meenakshim pranato asmi santatam aham karunaya varnanidhim
,|| अंत ||,,,
