line_number,section,hindi,english,roman
1.0,,अनन्तं वासुकिं शेषं पद्मनाभं च कम्बलम्।,"Ananta, Vasuki, Shesha, Padmanabha and Kambala",Anantam Vasuki Shesham Padmanabham cha Kambalam
,,शंखपालं धार्तराष्ट्रं तक्षकं कालियं तथा॥,"Shankhapala, Dhritarashtra, Takshaka and Kaliya",Shankhapalam Dhartarashtra Takshakam Kaliyam tatha
,|| ॐ ||,,,
,,एतानि नव नामानि नागानां च महात्मनाम्।,These nine names of the great serpent deities,Etani nava namani naganam cha mahatmanam
,,सायंकाले पठेन्नित्यं प्रातःकाले विशेषतः॥,Reading them daily in the evening and especially in the morning,Sayamkale pathet nityam pratah kale visheshatah
,|| ॐ ||,,,
,,तस्य विषभयं नास्ति सर्वत्र विजयी भवेत्।,He has no fear of poison and becomes victorious everywhere,Tasya visha bhayam nasti sarvatra vijayee bhavet
,,"नागपञ्चमी को पूजन, सर्पभय हर्ता।","On Naga Panchami worship, the remover of all fear of snakes",Naga panchami ko poojan sarpa bhaya harta
,|| ॐ ||,,,
,,नागस्तोत्रमिदं पुण्यं यः पठेद् भक्तितः शुचिः।,This sacred Naga Stotram — whoever reads it with devotion and purity,Naga stotram idam punyam yah pathed bhaktitah shuchihi
,,सर्पभयं न तस्यास्ति विषं नैव स्पृशेत् तनुम्॥,Has no fear of serpents and poison does not touch the body,Sarpa bhayam na tasyasti visham naiva sprishet tanum
,|| अंत ||,,,
