line_number,section,hindi,english,roman
1.0,,नन्दगोपकुमारस्य भजनं सर्वसिद्धिदम्।,The worship of Nanda Gopa's son gives all perfections,Nanda gopa kumarasya bhajanam sarva siddhi dam
,,नन्दकुमार नन्दकुमार नन्दकुमार नमोऽस्तु ते॥,"Nandakumar, Nandakumar, Nandakumar — salutations to you",Nandakumar Nandakumar Nandakumar namostu te
,|| ॐ ||,,,
,,यशोदानन्दनं कृष्णं गोपालं मधुरं प्रभुम्।,"Krishna son of Yashoda, Gopala, the sweet Lord",Yashoda nandanam Krishnam Gopalam madhuram prabhum
,,नन्दकुमार नन्दकुमार नन्दकुमार नमोऽस्तु ते॥,"Nandakumar, Nandakumar, Nandakumar — salutations to you",Nandakumar Nandakumar Nandakumar namostu te
,|| ॐ ||,,,
,,मुरलीधरं गोविन्दं ब्रह्माण्डपतिमीश्वरम्।,"Bearer of the flute, Govinda, lord of the cosmos, the Master",Murali dharam Govindam Brahmanda patim Ishwaram
,,नन्दकुमार नन्दकुमार नन्दकुमार नमोऽस्तु ते॥,"Nandakumar, Nandakumar, Nandakumar — salutations to you",Nandakumar Nandakumar Nandakumar namostu te
,|| ॐ ||,,,
,,नन्दकुमाराष्टकमिदं यः पठेद् भक्तिसंयुतः।,This Nandakumar Ashtakam — whoever reads it with devotion,Nandakumar ashtakam idam yah pathed bhakti samyutah
,,गोकुलाधिपतेः कृष्णस्य कृपाभाजनं भवेत्॥,Becomes a recipient of the grace of Krishna lord of Gokul,Gokulaadhipateh Krishnasya kripa bhajanam bhavet
,|| अंत ||,,,
