line_number,section,hindi,english,roman
1.0,,उग्रं वीरं महाविष्णुं ज्वलन्तं सर्वतोमुखम्।,"Fierce, heroic, great Vishnu, blazing, all-faced",Ugram viram Maha Vishnum jvalantam sarvatom ukham
,,नृसिंहं भीषणं भद्रं मृत्युमृत्युं नमाम्यहम्॥,"Narasimha the fearsome and auspicious, death to death — I bow",Nrisimham bhishanam bhadram mrityum mrityum namamyaham
,|| ॐ ||,,,
,,"प्रह्लादवरदं देवं, हिरण्यकशिपुघ्नकम्।",The god who gave boons to Prahlada and slew Hiranyakashipu,Prahlada varadam devam Hiranya kashipu ghna kam
,,"स्तम्भान्निर्गत्य सहसा, नृसिंहं प्रणमाम्यहम्॥",Who suddenly emerged from the pillar — I bow to Narasimha,Stambhaan nirgaty sahasa Nrisimham pranamamyaham
,|| ॐ ||,,,
,,"लक्ष्मीनृसिंह भगवन् शरणागतं मां,","O Lakshmi-Narasimha, Lord, I who have taken refuge",Lakshmi Nrisimha Bhagavan sharanagatam mam
,,पाहि जगन्निवास पाहि परात्पर त्वम्।,"Protect me O dweller of the universe, protect me O supreme of the supreme",Pahi jagannivasa pahi Paraatpara tvam
,|| ॐ ||,,,
,,नृसिंहाष्टकमिदं पुण्यं यः पठेद् भक्तितः सदा।,Whoever reads this sacred Narasimha Ashtakam daily with devotion,Nrisimha ashtakam idam punyam yah pathed bhaktitah sada
,,भयं नास्ति भवेत् तस्य नृसिंहस्य प्रसादतः॥,"Has no fear, by the grace of Narasimha",Bhayam nasti bhavet tasya Nrisimhasya prasadatah
,|| अंत ||,,,
