line_number,section,hindi,english,roman
1.0,,नमस्ते नरसिंहाय प्रह्लादाह्लादकारिणे।,"Salutations to Narasimha, the delight of Prahlada",Namaste Narasimhaya Prahladahlada Karene
,,हिरण्यकशिपोर्वक्षःशिलाटङ्कनखालये॥,Whose nails are like chisels on the stone-like chest of Hiranyakashipu,Hiranyakashipo vakshah shilatanka nakhalaye
,|| ॐ ||,,,
,,"इतो नृसिंहः परतो नृसिंहः, यतो यतो यामि ततो नृसिंहः।","Here is Narasimha, beyond is Narasimha, wherever I go there is Narasimha","Ito Nrisimhah parato Nrisimhah, yato yato yami tato Nrisimhah"
,,"बहिर्नृसिंहो हृदये नृसिंहः, नृसिंहमादिं शरणं प्रपद्ये॥","Outside is Narasimha, in the heart is Narasimha — I take refuge in the primordial Narasimha","Bahir Nrisimho hridaye Nrisimhah, Nrisimham adim sharanam prapadye"
,|| ॐ ||,,,
,,उग्रं वीरं महाविष्णुं ज्वलन्तं सर्वतोमुखम्।,"The fierce, heroic, great Vishnu, blazing, all-faced",Ugram Viram Maha Vishnum jvalantam sarvatom ukham
,,नृसिंहं भीषणं भद्रं मृत्युमृत्युं नमाम्यहम्॥,"Narasimha the fearsome and auspicious, death to death — I bow to him",Nrisimham bhishanam bhadram mrityumrityum namamyaham
,|| ॐ ||,,,
,,नृसिंह कवचं पुण्यं यः पठेत् सततं नरः।,This sacred Narasimha Kavacham — whoever reads it always,Nrisimha kavacham punyam yah pathet satatam narah
,,स विष्णुलोकमाप्नोति विष्णुना सह मोदते॥,Attains the world of Vishnu and rejoices with Vishnu,Sa Vishnuloka mapnoti Vishnuna saha modate
,|| अंत ||,,,
