line_number,section,hindi,english,roman
1.0,,नारायण परं ब्रह्म तत्त्वं नारायणः परः।,Narayana is the Supreme Brahman; Narayana is the supreme reality,Narayana param Brahma tattvam Narayanah parah
,,नारायणः परं धाम नारायणः परो गतिः।,Narayana is the supreme abode; Narayana is the supreme goal,Narayanah param dhama Narayanah paro gatih
,|| ॐ ||,,,
,,नारायणः परो धाता नारायणः परो विधिः।,Narayana is the supreme supporter; Narayana is the supreme ordainer,Narayanah paro dhata Narayanah paro vidhih
,,नारायणः परं ज्योतिः नारायणः परो हरिः।,Narayana is the supreme light; Narayana is the supreme Hari,Narayanah param jyotih Narayanah paro Harih
,|| ॐ ||,,,
,,नारायणः परं मंत्रं नारायणः पर तत्।,Narayana is the supreme mantra; Narayana is the supreme That,Narayanah param mantram Narayanah para tat
,,नारायणः परो देवो ह्यनन्तो भगवान् विभुः।,"Narayana is the supreme God, truly infinite, the glorious, all-pervading",Narayanah paro devo hyananato Bhagavan vibhuh
,|| ॐ ||,,,
,,य इदं नित्यमध्येति नारायणपरायणः।,"Whoever studies this daily, devoted to Narayana",Ya idam nityam adhyeti Narayana parayanah
,,नायं क्लिश्यति सम्सारे पद्मनाभपदं व्रजेत्॥,Is not troubled by the world and goes to the state of Padmanabha,Nayam klishyati samsare Padmanabha padam vrajet
,|| अंत ||,,,
