line_number,section,hindi,english,roman
1.0,,"ॐ राजोवाच — त्वं नो ब्रूहि यथा शत्रोः, सुतीव्रादभिभूयते।",The king said: Tell us how one can overcome fierce enemies,Om Rajo vacha — tvam no bruhi yatha shatroh sutivradabhibhuyate
,,नारायणकवचं तन्मे शुश्रूषोः शाधि यत् परम्॥,Tell me the supreme Narayana Kavach which I wish to hear,Narayana kavacham tanme shushru shoh sadhi yat param
,|| ॐ ||,,,
,,"श्री शुक उवाच — राजन्यास्थाय शयने, शुचिर्यः प्रयतः पुमान्।","Shri Shuka said: O King, the pure man who with self-control, lying down, performs Nyasa",Shri Shuka uvacha — Rajanyasthaya shayane shuchir yah prayatah puman
,,इदं सन्धाय मेधावी पादयोर्हरिमर्चयेत्॥,"The wise one, placing this at his feet, worships Hari",Idam sandhaya medhavi padayorhari marchayaet
,|| ॐ ||,,,
,,ॐ विष्णवे नमः। ॐ नमो नारायणाय।,"Om, salutations to Vishnu. Om, salutations to Narayana",Om Vishnave namah. Om namo Narayanaya
,,"हरिं पुरस्तादथ पृष्ठतश्च, हरिं च दक्षे पुरुषोत्तमं च।","Hari in front and Hari behind, and Hari on the right, the Supreme Person",Harim purastadatha pristhatashcha Harim cha dakshe Purushottamam cha
,|| ॐ ||,,,
,,"यत्र यत्र गतो भूमौ, त्वत्पादाम्बुजभावनात्।","Wherever on earth one goes, by meditating on your lotus feet",Yatra yatra gato bhumau tvat padambuja bhaavanat
,,"क्षेमोऽस्तु पथि याम्यहं, नारायण कृपाबलात्॥","By the strength of Narayana's grace, may I be safe on the path",Ksemo astu pathi yaamyaham Narayana kripa balat
,|| अंत ||,,,
