line_number,section,hindi,english,roman
1.0,,"सबिन्दुसिन्धुसुस्खलत्तरङ्गभङ्गरञ्जितं,",Adorned with the breaking of waves flowing with drops of the ocean,Sabindu sindhu sus khalat taranga bhanga ranjitam
,,द्विषत्सु पापजातजातकारिवारिसंयुतम्।,Combined with waters that destroy sins collected by enemies,Dvisatsu papa jata jata kari vari samyutam
,,"कृतान्तदूतकालभूतभीतिहारिवर्मदे,",Giving armour that removes the fear of messengers of death and terrible forms,Kritanta duta kala bhuta bhiti hari varmade
,,त्वदीयपादपङ्कजं नमामि देवि नर्मदे॥,I bow to your lotus feet O Goddess Narmada,Tvadiya padapankajam namami Devi Narmade
,|| ॐ ||,,,
,,"महागुणानि वाहिनी महादरिद्रभञ्जनी,",You carry great virtues and destroy great poverty,Maha gunani vahini maha daridra bhanjani
,,कृपारसात्मसागरे तरङ्गिणीं त्रिलोकनीम्।,"The river of three worlds, flowing in the ocean of compassion and essence",Kripa rasat masagare taranginim triloknim
,,"विमुक्तिदायिनी सदा शिवस्य भार्यधर्मिणि,","Always giving liberation, following the dharma as consort of Shiva",Vimukti dayini sada Shiva yasya bhaaryadharmini
,,त्वदीयपादपङ्कजं नमामि देवि नर्मदे॥,I bow to your lotus feet O Goddess Narmada,Tvadiya padapankajam namami Devi Narmade
,|| ॐ ||,,,
,,नर्मदाष्टकमिदं यः पठेत् नित्यं शुचिर्नरः।,"This Narmadashtakam — whoever reads it daily, the pure person",Narmada ashtakam idam yah pathet nityam shuchir narah
,,सर्वपापविनिर्मुक्तः शिवलोकं गमिष्यति॥,Freed from all sins will go to the world of Shiva,Sarva papa vinirmukta Shivalokam gamishyati
,|| अंत ||,,,
