line_number,section,hindi,english,roman
1.0,,प्रथमं शैलपुत्री च द्वितीयं ब्रह्मचारिणी।,"First Shailaputri, second Brahmacharini",Prathamam Shailaputri cha dwitiyam Brahmacharini
,,तृतीयं चन्द्रघण्टेति कूष्माण्डेति चतुर्थकम्॥,"Third Chandraghanta, fourth Kushmanda",Tritiyam Chandraghan teti Kushmandeti chaturtham
,,पञ्चमं स्कन्दमातेति षष्ठं कात्यायनीति च।,"Fifth Skandamata, sixth Katyayani",Panchamam Skanda mateti shashtham Katyayani ti cha
,,सप्तमं कालरात्रीति महागौरीति चाष्टमम्॥,"Seventh Kalaratri, eighth Mahagauri",Saptamam Kalaratriti Maha Gauriti chashtamam
,|| ॐ ||,,,
,,नवमं सिद्धिदात्री च नवदुर्गाः प्रकीर्तिताः।,Ninth Siddhidatri — these nine Durgas are proclaimed,Navamam Siddhidatri cha Nava Durga prakirtitah
,,उक्तान्येतानि नामानि ब्रह्मणैव महात्मना॥,"These names were spoken by Brahma himself, the great soul",Uktanyetaani namani Brahmanai va Mahatmana
,,"नवरात्रि में पूजित नौ रूपा, भक्तन की हर्ता भव पीड़ा।","Nine forms worshipped in Navratri, removing devotees from worldly pain",Navratri mein poojit nau rupa bhaktan ki harta bhav peeda
,,"जय जय नवदुर्गे माता, सब संकट की हर्ता।","Victory to the nine Durgas, remover of all troubles",Jaya jaya Navadurge mata sab sankat ki harta
,|| ॐ ||,,,
,,नवदुर्गास्तोत्रं यः पठेत् नित्यं भक्तिमान्।,Whoever reads this Navadurga Stotram daily with devotion,Navadurga stotram yah pathet nityam bhaktiman
,,नवरात्रि प्रसादेन सर्वकामान् प्राप्नुयात्॥,By the grace of Navratri he attains all desires,Navratri prasadena sarva kaman prapnuyat
,|| अंत ||,,,
