line_number,section,hindi,english,roman
1.0,,जपाकुसुमसङ्काशं काश्यपेयं महाद्युतिम्।,"Radiant as the Japa flower, son of Kashyapa, of great splendour",Japakusuma sankasham Kashya peyam Mahadyutim
,,तमोरिं सर्वपापघ्नं प्रणतोऽस्मि दिवाकरम्॥,"The enemy of darkness, destroyer of all sins — I bow to the Sun",Tamorim sarva papaghnam pranato asmi Divakaram
,|| ॐ ||,,,
,,दधिशङ्खतुषाराभं क्षीरोदार्णवसम्भवम्।,"White as curd, conch and snow, born from the milk ocean",Dahi shankha tusharabham ksheerodarnava sambhavam
,,नमामि शशिनं सोमं शम्भोर्मुकुटभूषणम्॥,"I bow to the Moon, Soma, who adorns the crown of Shambhu",Namami shashinam Somam Shambhor mukuta bhushanam
,|| ॐ ||,,,
,,धरणीगर्भसम्भूतं विद्युत्कान्तिसमप्रभम्।,"Born from the womb of the earth, with the brilliance of lightning",Dharani garbha sambhutam vidyut kanti samap rabham
,,कुमारं शक्तिहस्तं तं मङ्गलं प्रणमाम्यहम्॥,The ever-young one bearing a spear — I bow to Mars (Mangal),Kumaram shakti hastam tam Mangalam pranamamyaham
,|| ॐ ||,,,
,,प्रियंगुकलिकाश्यामं रूपेणाप्रतिमं बुधम्।,"Dark as the Priyanghu bud, unrivalled in beauty — Mercury (Budha)",Priya ngu kalika shyamam rupenaa pratimam Budham
,,सौम्यं सौम्यगुणोपेतं तं बुधं प्रणमाम्यहम्॥,"The gentle, endowed with gentle qualities — I bow to Mercury",Saumyam saumya gunopaetam tam Budham pranamamyaham
,|| ॐ ||,,,
,,देवानां च ऋषीणां च गुरुं काञ्चनसन्निभम्।,"Guru of gods and sages, golden in hue",Devanam cha rishinam cha gurum kanchana sannibham
,,बुद्धिमन्तं त्रिलोकेशं तं नमामि बृहस्पतिम्॥,"The intelligent one, lord of three worlds — I bow to Jupiter (Brihaspati)",Buddhimantam trilokesham tam namami Brihaspatim
,|| ॐ ||,,,
,,नीलाञ्जनसमाभासं रविपुत्रं यमाग्रजम्।,"Resembling collyrium in hue, son of the Sun, elder brother of Yama",Neelanjana samabhasam Ravipurtram Yamagrajam
,,छायामार्तण्डसम्भूतं तं नमामि शनैश्चरम्॥,Born of Chhaya and the Sun — I bow to Saturn (Shanaishchara),Chhaya Martanda sambhutam tam namami Shanaishcharam
,|| अंत ||,,,
