line_number,section,hindi,english,roman
1.0,,ॐ ऐं ह्रीं क्लीं चामुण्डायै विच्चे।,"Om Aim Hreem Kleem, salutations to Chamunda",Om Aim Hreem Kleem Chamundayai Vichche
,,"यह नवार्ण मन्त्र, नव देवियों का सार।","This is the Navarna mantra, the essence of the nine goddesses",Yah Navarna mantra nav deviyon ka sara
,|| ॐ ||,,,
,,"ऐं बीज वागीश्वरी का, ह्रीं बीज माया का।","Aim is the seed of Vagishwari, Hreem is the seed of Maya",Aim beej Vagishvari ka Hreem beej maya ka
,,"क्लीं बीज कामेश्वरी का, त्रिबीज त्रिशक्ति का॥",Kleem is the seed of Kameshwari — three seeds of three Shaktis,Kleem beej Kameshvari ka tri beej tri shakti ka
,|| ॐ ||,,,
,,"चामुण्डा रूप धरित, असुर संहार किया।","Taking the form of Chamunda, she destroyed demons",Chamunda roop dharit asur sanhar kiya
,,"नवार्ण मन्त्र जपते, शक्ति प्रसाद मिला॥","Chanting the Navarna mantra, one receives Shakti's grace",Navarna mantra japate Shakti prasad mila
,|| ॐ ||,,,
,,नवार्णस्तोत्रं यः पठेन्नित्यं भक्त्या शुचिः।,Whoever reads this Navarna Stotram daily with devotion and purity,Navarna stotram yah pathet nityam bhaktya shuchihi
,,नवदुर्गाप्रसादेन सर्वसिद्धिमवाप्नुयात्॥,By the grace of the nine Durgas attains all perfections,Nava Durga prasadena sarva siddhi mavapnuyat
,|| अंत ||,,,
