line_number,section,hindi,english,roman
1.0,,"मनोबुद्ध्यहङ्कारचित्तानि नाहं, न च श्रोत्रजिह्वे न च घ्राणनेत्रे।","I am not the mind, intellect, ego or memory; not ear, tongue, nose or eye","Mano buddhy ahankara chittani naham, na cha shrotrajihve na cha ghrana netre"
,,"न च व्योमभूमि न तेजो न वायुः, चिदानन्दरूपः शिवोऽहं शिवोऽहम्॥","Not sky, earth, fire or wind — I am of the nature of consciousness-bliss, I am Shiva, I am Shiva","Na cha vyoma bhumir na tejo na vayuh, chidananda rupah Shivoham Shivoham"
,|| ॐ ||,,,
,,"न च प्राणसंज्ञो न वै पञ्चवायुः, न वा सप्तधातुर्न वा पञ्चकोशः।","I am neither the vital breath nor the five airs, neither seven elements nor five sheaths","Na cha prana sangno na vai pancha vayuh, na va sapta dhatur na va pancha koshah"
,,"न वाक्पाणिपादं न चोपस्थपायु, चिदानन्दरूपः शिवोऽहं शिवोऽहम्॥","Not speech, hands, feet, nor the organs of procreation and excretion — I am Shiva","Na vakpaani padam na chopastha payu, chidananda rupah Shivoham Shivoham"
,|| ॐ ||,,,
,,"न मे द्वेषरागौ न मे लोभमोहौ, मदो नैव मे नैव मात्सर्यभावः।","I have no hatred or passion, no greed or delusion, no arrogance or envy","Na me dvesha ragau na me lobha mohau, mado naiva me naiva matsarya bhavah"
,,"न धर्मो न चार्थो न कामो न मोक्षः, चिदानन्दरूपः शिवोऽहं शिवोऽहम्॥","Not dharma, not wealth, not desire, not liberation — I am Shiva, I am Shiva","Na dharmo na chartho na kamo na mokshah, chidananda rupah Shivoham Shivoham"
,|| ॐ ||,,,
,,"न पुण्यं न पापं न सौख्यं न दुःखं, न मन्त्रो न तीर्थं न वेदा न यज्ञाः।","No merit, no sin, no pleasure, no pain, no mantra, no pilgrimage, no Vedas, no yajnas","Na punyam na papam na saukhyam na duhkham, na mantro na tirtham na veda na yagnah"
,,"अहं भोजनं नैव भोज्यं न भोक्ता, चिदानन्दरूपः शिवोऽहं शिवोऽहम्॥","I am neither the eating nor the food nor the eater — I am Shiva, I am Shiva","Aham bhojanam naiva bhojyam na bhokta, chidananda rupah Shivoham Shivoham"
,|| ॐ ||,,,
,,"न मृत्युर्न शंका न मे जातिभेदः, पिता नैव मे नैव माता न जन्मः।","No death, no fear, no distinctions of caste, no father, no mother, no birth for me","Na mrityurna shanka na me jati bhedah, pita naiva me naiva mata na janma"
,,"न बन्धुर्न मित्रं गुरुर्नैव शिष्यः, चिदानन्दरूपः शिवोऽहं शिवोऽहम्॥","No kin, no friend, no guru, no disciple — I am of the nature of consciousness-bliss, I am Shiva","Na bandhur na mitram gurur naiva shishyah, chidananda rupah Shivoham Shivoham"
,|| अंत ||,,,
