line_number,section,hindi,english,roman
1.0,॥आरती॥,"ॐ जय शिव ओंकारा, स्वामी जय शिव ओंकारा। ब्रह्मा, विष्णु, सदाशिव, अर्द्धांगी धारा॥","Om, victory to Shiva, Lord Omkara; Brahma, Vishnu and Sadashiva are his three aspects, with Ardhangi (Parvati) by his side","Om Jai Shiv Omkara, Swami Jai Shiv Omkara, Brahma Vishnu Sadashiv Ardhangi Dhara"
2.0,,एकानन चतुरानन पञ्चानन राजे। हंसासन गरुड़ासन वृषवाहन साजे॥,"As Brahma he has one face, as Vishnu four, as Shiva five; seated on swan, eagle and bull respectively","Ekaanan Chaturanan Panchanan Raje, Hansaasan Garudaasan Vrishvahan Saaje"
3.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
4.0,,दो भुज चार चतुर्भुज दसभुज अति सोहे। त्रिगुण रूप निरखते त्रिभुवन जन मोहे॥,"His two, four and ten arms are supremely beautiful; seeing his three-natured form all three worlds are enchanted","Do Bhuj Char Chaturbhuj Dasbhuj Ati Sohe, Trigun Roop Nirakhate Tribhuvan Jan Mohe"
5.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
6.0,,अक्षमाला वनमाला मुंडमाला धारी। त्रिपुरारी कंसारी कर माला धारी॥,"He wears rosary, forest garland and skull garland; destroyer of Tripura, with a garland of hands","Akshmala Vanmala Mundmala Dhari, Tripurari Kansari Kar Mala Dhari"
7.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
8.0,,श्वेताम्बर पीताम्बर बाघम्बर अंगे। सनकादिक गरुड़ादिक भूतादिक संगे॥,"His body is draped in white, yellow and tiger-skin garments; attended by Sanaka, Garuda, and ghosts","Shvetambar Pitambar Baghambar Ange, Sankadik Garunadik Bhootadik Sange"
9.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
10.0,,"कर के मध्य कमण्डलु, चक्र, त्रिशूल धर्ता। जगकर्ता जगहर्ता जगपालन कर्ता॥","He holds kamandalu, chakra and trident in his hands; creator, destroyer and sustainer of the world","Kar Ke Madhya Kamandalu Chakra Trishul Dharta, Jagkarta Jagharta Jagpalan Karta"
11.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
12.0,,ब्रह्मा विष्णु सदाशिव जानत अविवेका। प्रणवाक्षर के मध्ये ये तीनो एका॥,"Brahma, Vishnu and Sadashiva are one in the Pranava (Om); the three are truly one","Brahma Vishnu Sadashiv Jaanat Aviveka, Pranavakshar Ke Madhye Ye Teeno Eka"
13.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
14.0,,"काशी में विराजे विश्वनाथ, नंदी ब्रह्मचारी। नित उठ दर्शन पावत, महिमा अति भारी॥",Lord Vishwanath dwells in Kashi with celibate Nandi; those who rise daily and take darshan receive immense grace,"Kashi Mein Viraaje Vishwanath Nandi Brahmachari, Nit Uth Darshan Paavat Mahima Ati Bhaari"
15.0,॥आरती॥,ॐ जय शिव ओंकारा॥,"Om, victory to Shiva Omkara",Om Jai Shiv Omkara
16.0,,"त्रिगुण स्वामी जी की आरती जो कोई नर गावे। कहत शिवानंद स्वामी, मनवांछित फल पावे॥","Whoever sings this aarti of the three-natured Lord; says Shivananda Swami, attains all desired fruits","Trigunswami Ji Ki Aarti Jo Koi Nar Gaave, Kahat Shivanand Swami Manvanchit Phal Paave"
17.0,॥आरती॥,"ॐ जय शिव ओंकारा, स्वामी जय शिव ओंकारा॥","Om, victory to Shiva Omkara","Om Jai Shiv Omkara, Swami Jai Shiv Omkara"
,|| अंत ||,,,
