line_number,section,hindi,english,roman
1.0,,पञ्चमुखाय विद्महे वायुपुत्राय धीमहि।,"We know the five-faced one, we meditate on the son of the Wind",Panchamukhaya vidmahe Vayu putraya dhimahi
,,तन्नो हनुमान् प्रचोदयात्॥,May that Hanuman inspire us,Tanno Hanuman prachodayat
,|| ॐ ||,,,
,,ॐ हनुमते नमः। श्री पञ्चमुखहनुमते नमः।,"Om, salutations to Hanuman. Salutations to the five-faced Hanuman",Om Hanumate namah. Shri Panchamukha Hanumate namah
,,"पूर्वे तु वानरो मुखं, दक्षिणे नारसिंहकम्।","In the east is the monkey face, in the south is the Narasimha face",Purve tu Vanaro mukham daksine Narasimhakam
,,"पश्चिमे गारुडं वक्त्रं, उत्तरे वाराहकम्।","In the west is the Garuda face, in the north is the Varaha face",Paschime Garudam vaktram uttare Varahakam
,,"ऊर्ध्वे हयग्रीवं मुखं, पञ्चमुखं समर्पयेत्॥",Above is the Hayagriva face — these five faces are offered in worship,Urdhve Hayagrivam mukham pancha mukham samarpayaet
,|| ॐ ||,,,
,,पञ्चमुखहनुमत्कवचं यः पठेत् नित्यम्।,Whoever reads the five-faced Hanuman Kavach daily,Panchamukha Hanumat kavacham yah pathet nityam
,,"सर्वभयं नाशयति, सर्वारिष्टं शमयति॥",All fears are destroyed and all evil omens are pacified,Sarva bhayam nashayati sarva arishNam shamayati
,|| अंत ||,,,
