line_number,section,hindi,english,roman
1.0,,"महायोगपीठे तटे भीमरथ्याः,",On the great yoga seat on the banks of the Bhima river,Mahayoga pithe tate Bhimarathyah
,,वरं पुण्डरीकाय दातुं मुनीन्द्रैः।,Given as a boon to Pundarika by great sages,Varam Pundarikaaya daatuma munindraih
,,"समागत्य तिष्ठन्तमानन्दकन्दं,",Who came and stands as the source of bliss,Samagat ya tishthantam ananda kandam
,,परब्रह्मलिङ्गं भजे पाण्डुरङ्गम्॥,"I worship Panduranga, the symbol of the Supreme Brahman",Parabrahma lingam bhaje Pandhurangam
,|| ॐ ||,,,
,,"तडिद्वाससं नीलमेघावभासं,","Clothed in lightning-like yellow, resembling a blue cloud",Tadid vasasam nila meghava bhasam
,,रमाकान्तमनन्यभक्तैस्सुसेव्यम्।,"Beloved of Lakshmi, served perfectly by exclusive devotees",Ramakantam ananya bhaktai ssevyam
,,"जनत्राणलीलाभिरामायताक्षं,",With lotus eyes beautiful in his sports of protecting the world,Jana trana leela bhirama ayataksham
,,परब्रह्मलिङ्गं भजे पाण्डुरङ्गम्॥,"I worship Panduranga, the symbol of the Supreme Brahman",Parabrahma lingam bhaje Pandhurangam
,|| ॐ ||,,,
,,पाण्डुरङ्गाष्टकं पुण्यं यः पठेद्भक्तिसंयुतः।,This sacred Pandurangashtakam — whoever reads it with devotion,Panduranga ashtakam punyam yah pated bhakti samyutah
,,तस्य पुण्डरीकाक्षस्य कृपां प्राप्नोति नित्यशः॥,Always receives the grace of Pundarikaksha (Vishnu),Tasya Pundarikaakasya kripam prapnoti nityashah
,|| अंत ||,,,
