line_number,section,hindi,english,roman
1.0,,"नमः शम्भवाय च मयोभवाय च,",Salutations to Shambhu the beneficent and to the source of happiness,Namah Shambhavaya cha Mayo bhavaya cha
,,नमः शंकराय च मयस्कराय च।,Salutations to Shankara the auspicious and to the maker of joy,Namah Shankaraya cha Mayaskaraya cha
,,नमः शिवाय च शिवतराय च॥,Salutations to Shiva and to the supremely auspicious one,Namah Shivaya cha Shivata raya cha
,|| ॐ ||,,,
,,ब्रह्माविष्णुशिवात्मकं स्तौमि परं पदम्।,"I praise the supreme state which is of the nature of Brahma, Vishnu and Shiva",Brahma Vishnu Shivatmakam staumi param padam
,,त्रिमूर्तीशं परेशानं सर्वकारणकारणम्॥,"The lord of the trinity, the supreme ruler, the cause of all causes",Trimurti Isham Pareshanam sarva karana karanam
,|| ॐ ||,,,
,,"सर्वव्यापिने नमः परमेश्वराय,",Salutations to the all-pervading Parameshwara,Sarva vyapine namah Parameshwaraya
,,सर्वशक्तिमते नमो देवदेवाय॥,"Salutations to the all-powerful, to the god of gods",Sarva shaktimate namo Deva devaya
,|| ॐ ||,,,
,,परमेश्वरस्तुतिमिदं यः पठेन्नित्यं विधानतः।,Whoever reads this Parameshwara Stuti daily with proper procedure,Parameshvara stutim idam yah pathet nityam vidhanatah
,,त्रिमूर्तेः प्रसादाद् ब्रह्मज्ञानमाप्नोति निश्चितम्॥,Certainly attains the knowledge of Brahman by the grace of the Trinity,Trimurteh prasadad Brahma gyanam apnoti nishchitam
,|| अंत ||,,,
